,attributes.OBJECTID,attributes.FACILITYID,attributes.INTID,attributes.SITENAME,attributes.SITEADDRESS,attributes.OPENDAYS,attributes.OPENTIMES,attributes.OPENDATES,attributes.MEALTYPES,attributes.SITETYPE,attributes.SITESTATUS,attributes.DESCRIPTION,attributes.PHONENUMBER,attributes.EMAIL,attributes.WEBLINK,attributes.CITYNAME,attributes.CITYCOUNCILDISTRICT,attributes.LASTUPDATE,attributes.LASTEDITOR,attributes.NOTES,attributes.ENTERPRISEID,attributes.DESCRIPTIONLONG,geometry.x,geometry.y
0,188,188,188,Coastside Hope,P.O. Box 1089 El Granada,,,,,Pantry,Open,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Outside Santa Clara County,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000188,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13634416.55,4509789.363
1,219,219,219,Our Lady Of Guadalupe Catholic Church,2020 East San Antonio St. San Jose,,,,,Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,5,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000219,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13563790,4488452
2,220,220,220,Crossroads Christian Center - People That Care,145 Wright Avenue Morgan Hill,Last Tuesday of the Month,5:00 PM - 6:00 PM,January-October,Pantry,Pantry,Open,Food program provided by a Faith-Based organization to the community,408-779-2925,,http://www.crossroadschristiancenter.org/home/about/contact/,Morgan Hill,0,1588636200000,FME,Source: City of Morgan Hill,EOC-FDFS-0000000220,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13543396,4457728
3,221,221,221,Sunnyvale Community Services,725 Kifer Road Sunnyvale,Monday - Friday,9:00 AM - 12:00 PM | 12:30 PM - 4:00 PM,Year Round,Pantry,Pantry,Open,We are currently modifying our food program; please call our food hotline at 408 738-4321 x223.,408-738-4321,info@svcommunityservices.org,https://svcommunityservices.org/,Sunnyvale,0,1588777452000,FME,,EOC-FDFS-0000000221,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13582686,4491653
4,222,222,222,The Salvation Army - Sunnyvale,1161 South Bernardo Ave. Sunnyvale,,,,,Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Sunnyvale,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000222,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13587613,4488991
5,223,223,223,Eastside COGIC,2490 Story Road San Jose,,,,,Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,5,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000223,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13562039,4487832
6,224,224,224,Project Access,2580 Fontaine Road San Jose,,,,,Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,7,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000224,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13561837,4483204
7,225,225,225,South Palo Alto Food Closet,"670 E. Meadow Drive,  Room 9 Palo Alto",,,,,Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,Palo Alto,0,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000225,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13593828,4498346
8,226,226,226,Silicon Valley Independent Living Center,2202 N. First Street San Jose,,,,,Pantry,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,4,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000226,"Distributes free food, groceries, and perishable items to qualifying individuals. Please call for details specific to this site.",-13572200,4491844
9,227,227,227,Cambrian Center,2360 Samaritan Place San Jose,,,,,Brown Bag,Closed,"Second Harvest and partner food programs vary significantly in terms of availability and eligibility, so it is best to contact the hotline to get more information about a particular site, 800-984-3663 or text GETFOOD to 408-455-5181.",1-800-984-3663,getfood@shfb.org,https://www.shfb.org/get-food,San Jose,9,1588636200000,FME,Source: Second Harvest,EOC-FDFS-0000000227,"Brown Bag Program distributes food to low-income seniors at various distribution sites throughout Santa Clara and San Mateo counties. Members receive a bi-monthly bag of groceries. The bag could include items such as fresh fruits and vegetables, rice, bread, eggs, chicken and much more. Members can pick up one bag per household from a Brown Bag site only. Applying for this program will not affect your ability to apply for other government benefits or local agencies. HOW DO I SIGN UP? Call Food Connection at 1-800-984-3663.",-13574708,4474127
