,attributes.OBJECTID,attributes.FACILITYID,attributes.INTID,attributes.SITESCHOOLDISTRICT,attributes.SITENAME,attributes.SITEADDRESS,attributes.OPENDAYS,attributes.OPENTIMES,attributes.OPENDATES,attributes.MEALTYPES,attributes.SITETYPE,attributes.SITESTATUS,attributes.DESCRIPTION,attributes.PHONENUMBER,attributes.EMAIL,attributes.WEBLINK,attributes.CITYNAME,attributes.CITYCOUNCILDISTRICT,attributes.LASTUPDATE,attributes.LASTEDITOR,attributes.NOTES,attributes.ENTERPRISEID,attributes.DESCRIPTIONLONG,geometry.x,geometry.y
0,1,1,1,Alum Rock Union SD,Painter/Sheppard MS,"480 Rough & Ready Rd. San Jose 
 
 
","Monday through Thursday


De lunes a jueves",11:00 a.m. to 1:00 p.m.,On-going through school June 9th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584407264/arusdorg/ctuat3itibpp3impkobc/FamilyLetter3-6-20.pdf,San Jose,5,1588782424000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000001,Curbside pickup or walk through.,-13563497.92,4491488.531
1,2,2,2,Alum Rock Union SD,Hubbard Elementary,1680 Foley Ave,"Monday through Thursday


De lunes a jueves",11:00 a.m. to 1:00 p.m.,On-going through school June 9th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584407264/arusdorg/ctuat3itibpp3impkobc/FamilyLetter3-6-20.pdf,San Jose,7,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000002,Curbside pickup or walk through.,-13563107.87,4485242.835
2,3,3,3,Alum Rock Union SD,Dorsa Elementary,1290 Bal Harbor Way,"Monday through Thursday


De lunes a jueves",11:00 a.m. to 1:00 p.m.,On-going through school June 9th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584407264/arusdorg/ctuat3itibpp3impkobc/FamilyLetter3-6-20.pdf,San Jose,5,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000003,Curbside pickup or walk through.,-13562844.71,4486647.384
3,4,4,4,Alum Rock Union SD,Cesar Chavez School,2000 Kammerer Ave,"Monday through Thursday


De lunes a jueves",11:00 a.m. to 1:00 p.m.,On-going through school June 9th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584407264/arusdorg/ctuat3itibpp3impkobc/FamilyLetter3-6-20.pdf,San Jose,5,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000004,Curbside pickup or walk through.,-13563754.53,4487926.79
4,5,5,5,Alum Rock Union SD,Arbuckle Elementary,"1970 Cinderella Ln, San Jose","Monday through Thursday


De lunes a jueves",11:00 a.m. to 1:00 p.m.,On-going through school June 9th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584407264/arusdorg/ctuat3itibpp3impkobc/FamilyLetter3-6-20.pdf,San Jose,5,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000005,Curbside pickup or walk through.,-13563172.44,4487263.894
5,6,6,6,Alum Rock Union SD,Linda Vista Elementary,"100 Kirk Ave, San Jose","Monday through Thursday


De lunes a jueves",11:00 a.m. to 1:00 p.m.,On-going through school June 9th,Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://resources.finalsite.net/images/v1584407264/arusdorg/ctuat3itibpp3impkobc/FamilyLetter3-6-20.pdf,San Jose,5,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000006,Curbside pickup or walk through.,-13561395.44,4491967.667
6,7,7,7,Berryessa Union Elementary,Piedmont Middle School,"955 Piedmont Rd, San Jose","Monday through Thursday

De lunes a jueves",12:00 p.m. to 1:00 p.m.,March 16th until further notice,Lunch Only,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.berryessa.k12.ca.us/Announcements/,San Jose,4,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000007,A lunch bag will be available for students and families. Thursday will also provide a meal for Friday,-13563679.73,4494052.504
7,8,8,8,Berryessa Union Elementary,Morrill Midde School,"1970 Morrill Ave, San Jose","Monday through Thursday

De lunes a jueves",12:00 p.m. to 1:00 p.m.,March 16th until further notice,Lunch Only,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.berryessa.k12.ca.us/Announcements/,San Jose,4,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000008,A lunch bag will be available for students and families. Thursday will also provide a meal for Friday,-13566453.72,4496441.987
8,9,9,9,Berryessa Union Elementary,Vinci Park Elementary,"1311 Vinci Park Way, San Jose","Monday through Thursday

De lunes a jueves",12:00 p.m. to 1:00 p.m.,March 16th until further notice,Lunch Only,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.berryessa.k12.ca.us/Announcements/,San Jose,4,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000009,A lunch bag will be available for students and families. Thursday will also provide a meal for Friday,-13566832,4492224.849
9,10,10,10,Cambrian,Price Middle School,2650 New Jersey Avenue,"Monday through Friday


de lunes a viernes",11:00 a.m. to 1:00 p.m.,"On-going through school closure

En curso hasta el cierre de la escuela",Lunch and Breakfast,School,Open,The school meal distribution program provides food for low-income families whose children depend on the lunch or breakfast they get from the cafeteria.,,,https://www.cambriansd.org/,San Jose,9,1588782425000,FME,*updated 5.4.20 at 4:12 p.m.,EOC-FCMS-0000000010,Curbside Pickup or walk thru will be available for your convenience.In the parking lot or bus lane . 18 and younger,-13572660.07,4477186.771
