,attributes.OBJECTID,attributes.FACILITYID,attributes.INTID,attributes.SITENAME,attributes.SITEADDRESS,attributes.OPENDAYS,attributes.OPENTIMES,attributes.OPENDATES,attributes.MEALTYPES,attributes.SITETYPE,attributes.SITESTATUS,attributes.DESCRIPTION,attributes.PHONENUMBER,attributes.EMAIL,attributes.WEBLINK,attributes.CITYNAME,attributes.CITYCOUNCILDISTRICT,attributes.LASTUPDATE,attributes.LASTEDITOR,attributes.NOTES,attributes.ENTERPRISEID,attributes.DESCRIPTIONLONG,geometry.x,geometry.y
0,116,116,116,Asian Americans for Community Involvement (AACI),"2400 Moorpark Ave Ste 300, San Jose, CA 95128",M - F,11:30 am to 12:00 pm,Year Round,Take-Out Available (Delivery available to existing participants. Call to apply for wait list),Community Organization,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-975-2374,Gerard.Manuel@aaci.org,N/A,Unincorporated,6,1588770037000,FME,Chinese,EOC-FSMS-0000000116,,-13574006.89,4483206.036
1,117,117,117,Billy De Frank LBGT Community  Center,"938 The Alamada, San Jose, CA 95128",W&F,11:30,Year Round,Take-Out Available,Other Community Center,Closed,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-293-3040,gabrielle@defrank.org,N/A,San Jose,6,1588770037000,FME,Continental,EOC-FSMS-0000000117,,-13570717.22,4485390.114
2,118,118,118,Campbell Adult Center,"1 W Campbell Ave, Campbell, CA 95008",M - F,11:00 am to 12:00 pm,Year Round,Take-Out Available,Other Community Center,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-866-2764,tinaw@cityofcampbell.com,N/A,Campbell,0,1588770037000,FME,Continental/Chinese,EOC-FSMS-0000000118,,-13575408.39,4479203.662
3,119,119,119,CSJ: Berryessa Community Center,"3050 Berryessa Rd, San Jose, CA 95132",M - F,11:30 am to 12:00 pm,Year Round,Take-Out Available,CSJ Community Center,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-251-6392,Melissa.monsees@sanjoseca.gov,N/A,San Jose,4,1588770037000,FME,Ethnically Diverse,EOC-FSMS-0000000119,,-13564194.68,4493897.327
4,120,120,120,CSJ: Camden Community Center,"3369 Union Ave, San Jose, CA 95124",M - F,11:30 am to 12:20 pm,Year Round,Take-Out Available with 24 hour advance reservation only,CSJ Community Center,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-371-2888,daniel.gomez@sanjoseca.gov,N/A,San Jose,9,1588770037000,FME,Continental,EOC-FSMS-0000000120,,-13573538.8,4475961.958
5,121,121,121,CSJ: Southside Community Center,"5585 Cottle Rd, San Jose, CA 95123",M - F,12:00 pm to 12:30 pm,Year Round,Take-Out Available,CSJ Community Center,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-629-9606,dustin.gordon@sanjoseca.gov,N/A,San Jose,2,1588770037000,FME,Continental,EOC-FSMS-0000000121,,-13559247.1,4474321.077
6,122,122,122,CSJ: Willow Glen Senior Center,"2175 Lincoln Ave, San Jose, CA 95125",M - F,11:30 am to 12:30 pm,Year Round,Take-Out Available,CSJ Community Center,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-265-0915,alvaro.celaya@sanjoseca.gov,N/A,San Jose,6,1588770037000,FME,Ethnically Diverse,EOC-FSMS-0000000122,,-13568625.39,4479757.551
7,123,123,123,CSJ: Alma Senior Center,"136 W. Alma Ave, San Jose, CA 95110",M - F,11:30 am to 12:30 pm,Year Round,Take-Out Available,CSJ Community Center,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-275-1315,rhonda.vargas@sanjoseca.gov,N/A,San Jose,7,1588770037000,FME,Mexican,EOC-FSMS-0000000123,,-13567165.12,4483019.031
8,124,124,124,CSJ: Almaden Community Center,"6445 Camden Ave, San Jose, CA 95120",M - F,12:00 pm to 12:30 pm,Year Round,Take-Out Available,CSJ Community Center,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-268-1133,Anne.Naranjo@sanjoseca.gov,N/A,San Jose,10,1588770037000,FME,Ethnically Diverse,EOC-FSMS-0000000124,,-13566546.53,4470034.271
9,125,125,125,CSJ: Alviso Senior Center,"5050 N. First St, San Jose, CA 95002","M, W",12:00 pm to 12:30 pm,Year Round,Take-Out Available,CSJ Community Center,Open,"The Senior Nutrition Program is open to all seniors over the age of 60. A contribution of $3.00 is asked from each person to help offset the cost of the meal, however no eligible senior shall be denied participation because of inability to contribute.",408-251-6392,Melissa.monsees@sanjoseca.gov,N/A,San Jose,4,1588770037000,FME,Continental,EOC-FSMS-0000000125,,-13577537.68,4498475.962
