region,resource,free,provider_name,provider_addloc,address,city,state,zip,lat,lon,contact,call_in_advance,email,instructions,web_link,status,mon,tues,wed,thr,fri,sat,sun,public,seniors,children,homeless,clients,uninsured,residents,quality_check_complete,last_update,updated_by,week_1,week_2,week_3,week_4,week_5
alameda_county,groceries,,Alameda Food Bank,,650 West Ranger Avenue,"Alameda, CA",CA,94501,,,(510) 523-5850,0,,"You may come once per week. New clients must register. Please bring the following: Picture I.D. for every adult in household. Children need birth certificate, Medi-Cal card, or report card. Proof of address (must be within the last 30 days)",http://www.alamedafoodbank.org/,1,12:00 PM - 5:00 PM,0,12:00 PM - 5:00 PM,0,12:00 PM - 5:00 PM,0,0,0,0,0,0,1,0,0,0,2020-04-30T00:00:00Z,CH,,,,,
alameda_county,groceries,,Alameda County Community Food Bank,College of Alameda,555 Ralph Appezzato Mem. Pkwy,"Alameda, CA",CA,94501,,,(510) 635-3663,1,,Please bring your own reusable bag.,https://alameda.peralta.edu/alameda-county-community-food-bank/,1,2nd Tuesday: 12:00 pm - 2:30 pm; 4th Tuesday: 12:00 pm - 2:30 pm,2nd Tuesday: 12:00 pm - 2:30 pm; 4th Tuesday: 12:00 pm - 2:30 pm,2nd Tuesday: 12:00 pm - 2:30 pm; 4th Tuesday: 12:00 pm - 2:30 pm,2nd Tuesday: 12:00 pm - 2:30 pm; 4th Tuesday: 12:00 pm - 2:30 pm,2nd Tuesday: 12:00 pm - 2:30 pm; 4th Tuesday: 12:00 pm - 2:30 pm,2nd Tuesday: 12:00 pm - 2:30 pm; 4th Tuesday: 12:00 pm - 2:30 pm,2nd Tuesday: 12:00 pm - 2:30 pm; 4th Tuesday: 12:00 pm - 2:30 pm,1,0,0,0,0,0,0,0,2020-04-30T00:00:00Z,CH,,,,,
alameda_county,groceries,,Tri-City Volunteers,,37350 Joseph St,Fremont,CA,94536,,,(510) 793-4583,0,,"- Bring proof of residency and some form of ID for every household member. 
- New clients are encouraged to sign up Mon-Thurs from 1pm-2pm due to shorter lines and faster processing.
- If you are without permanent shelter, you may come in once per day to receive a prepared bag lunch from us.
- Residents of Fremont, Newark and Union City",https://www.tri-cityvolunteers.org/services/,1,9:30 AM - 2:30 PM,9:30 AM - 2:30 PM,9:30 AM - 2:30 PM,9:30 AM - 2:30 PM,0,0,0,1,0,0,0,0,0,0,0,2020-04-27T00:00:00Z,SA,,,,,
alameda_county,groceries,,Telegraph Community Center,,5316 Telegraph Ave,Oakland,CA,94609,,,(510) 961-4385,0,,,http://www.telegraphcenter.com/food-pantry/,1,0,0,6:00 PM - 7:30 PM,0,10:00 AM - 2:00 PM;,0,0,1,0,0,0,0,0,0,0,2020-04-26T00:00:00Z,SA,,,,,
alameda_county,groceries,,Hope 4 the Heart,,22035 Meekland Ave,Hayward,CA,94544,,,,0,,#NAME?,https://www.facebook.com/hope4theheart/,1,0,12:30 PM,12:30 PM,12:30 PM,0,0,0,0,0,0,0,1,0,0,0,2020-04-27T00:00:00Z,SA,,,,,
alameda_county,groceries,,Salvation Army,Hayward Corps,430 A St,Hayward,CA,94541,,,(510) 581-6444,0,,Please bring identification with you.,https://www.facebook.com/haywardcorps/services/?ref=page_internal,1,"Tuesday - Thursday: 10:00 am - 4:00 pm;
3rd Wednesday: 12:00 pm - 2:00 pm","Tuesday - Thursday: 10:00 am - 4:00 pm;
3rd Wednesday: 12:00 pm - 2:00 pm","Tuesday - Thursday: 10:00 am - 4:00 pm;
3rd Wednesday: 12:00 pm - 2:00 pm","Tuesday - Thursday: 10:00 am - 4:00 pm;
3rd Wednesday: 12:00 pm - 2:00 pm","Tuesday - Thursday: 10:00 am - 4:00 pm;
3rd Wednesday: 12:00 pm - 2:00 pm","Tuesday - Thursday: 10:00 am - 4:00 pm;
3rd Wednesday: 12:00 pm - 2:00 pm","Tuesday - Thursday: 10:00 am - 4:00 pm;
3rd Wednesday: 12:00 pm - 2:00 pm",1,0,0,0,0,0,0,0,2020-04-27T00:00:00Z,SA,,,,,
alameda_county,meal,,Salvation Army,Hayward Corps,430 A St,Hayward,CA,94541,,,(510) 581-6444,0,,Please bring identification with you.,https://www.facebook.com/haywardcorps/services/?ref=page_internal,1,12:30 PM - 2:00 PM; SUNDAY,12:30 PM - 2:00 PM; SUNDAY,12:30 PM - 2:00 PM; SUNDAY,12:30 PM - 2:00 PM; SUNDAY,12:30 PM - 2:00 PM; SUNDAY,0,0,1,0,0,0,0,0,0,0,2020-04-27T00:00:00Z,SA,,,,,
alameda_county,groceries,,Salvation Army,Oakland Garden Center Corps,2794 Garden St Oakland,,CA,94601,,,(510) 383-9300,0,,Must have valid I.D.,https://oaklandgarden.salvationarmy.org/oakland_garden/cure-hunger/,1,11:00 AM - 1:00 PM,0,11:00 AM - 1:00 PM,0,11:00 AM - 1:00 PM,0,0,1,0,0,0,0,0,0,0,2020-04-25T00:00:00Z,,,,,,
alameda_county,groceries,,Salvation Army,Tri-City Corps,36700 Newark Blvd Newark,,CA,,,,(510) 793-6319 ext. 203,1,,"Grocery bags for households by appointment only Monday, Wednesday, Friday (except third Fridays of the month); 9 – 11 a.m. USDA Food Distribution Third Friday of each month; 1 – 3 p.m. must brign I.D.",https://www.facebook.com/Tsatricities/services/?ref=page_internal,1,9:00 AM - 11:00 AM; 3RD FRIDAY,0,9:00 AM - 11:00 AM; 3RD FRIDAY,0,9:00 AM - 11:00 AM; 3RD FRIDAY,0,0,1,0,0,0,0,0,0,0,2020-04-30T00:00:00Z,CH,,,,,
alameda_county,meal,,Salvation Army,Tri-City Corps,36700 Newark Blvd Newark,,CA,,,,(510) 793-6319 ext. 203,0,,Third Friday of each month; 1 – 3 p.m. Grocery bags for households.,https://www.facebook.com/Tsatricities/services/?ref=page_internal,1,0,0,12:00 PM - 1:00 PM,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-30T00:00:00Z,CH,,,,,
