X1,site_name,address,city,long,lat,county,hours,zipcode
3,Morgans Hill Market,16935 Monterey St,Morgan Hill,-121.64956000000001,37.124382000000004,Santa Clara,No hours listed,95037
8,Tolentino's Meat Market,17865 Monterey Rd,Morgan Hill,-121.65817,37.134521,Santa Clara,No hours listed,95037
9,Co 6 Trai Cay,992 Story Rd,San Jose,-121.85501000000001,37.330822,Santa Clara,No hours listed,95122
34,Quick N Easy,8429 Murray Ave,Gilroy,-121.56958999999999,37.022015,Santa Clara,No hours listed,95020
42,First Mart,3730 N 1st St,San Jose,-121.94627,37.410545,Santa Clara,No hours listed,95134
47,MY GOODS MARKET 5442,7022 Santa Teresa Blvd,San Jose,-121.77631000000001,37.226555,Santa Clara,No hours listed,95111
49,Silver Creek Shell 178,5801 Silver Creek Valley Rd,San Jose,-121.7795,37.276684,Santa Clara,No hours listed,95138
55,Carniceria La Sorpresa,311B Moffett Blvd,Mountain View,-122.07618000000001,37.397888,Santa Clara,No hours listed,94043
78,Kaiser Santa Clara,710 Lawrence Expy,Santa Clara,-121.99582,37.335438,Santa Clara,No hours listed,95051
108,Starlite Shell 35,1780 S Main St,Milpitas,-121.90285,37.404861,Santa Clara,No hours listed,95035
130,San Jose Downtown Farmers' Market,18 N San Pedro St,San Jose,-121.89316000000001,37.335547999999996,Santa Clara,No hours listed,95110
136,4th & Santa Clara Chevron,147 E Santa Clara St,San Jose,-121.88763999999999,37.337616,Santa Clara,No hours listed,95113
152,Almaden/via Valiente Farmer Market,6902 Almaden Expy,San Jose,-121.84908,37.212337,Santa Clara,No hours listed,95120
158,Patron Liquors & Grocery Store,252 Willow St,San Jose,-121.88338,37.318218,Santa Clara,No hours listed,95110
210,"NMSO, Inc. 68204",2790 Story Rd,San Jose,-121.82458000000001,37.352385999999996,Santa Clara,No hours listed,95127
234,Meridian Shell 160,1610 Meridian Ave,San Jose,-121.91351999999999,37.294090000000004,Santa Clara,No hours listed,95125
261,Queen Fresh Fruits,1111 Story Rd,San Jose,-121.85452,37.33234,Santa Clara,No hours listed,95122
264,Meridian Chevron 96336,900 Meridian Ave,San Jose,-121.91353000000001,37.310562,Santa Clara,No hours listed,95126
290,San Antonio Market 8,202 S 22nd St,San Jose,-121.86643000000001,37.34288,Santa Clara,No hours listed,95116
294,Maldonado Produce Lot  218,1590 Berryessa Road,San Jose,-121.87958,37.36916,Santa Clara,No hours listed,95133
304,Union Market,750 S Almaden Ave,San Jose,-121.88525,37.32304,Santa Clara,No hours listed,95110
312,Shop & Save Market,365 Bird Ave,San Jose,-121.89988000000001,37.323982,Santa Clara,No hours listed,95126
319,Vineyard Chevron 1,15865 Monterey Rd,Morgan Hill,-121.64029,37.110706,Santa Clara,No hours listed,95037
395,Gbja Llc,2561 Newhall St,Santa Clara,-121.95105,37.337505,Santa Clara,No hours listed,95050
417,Save Food & Liquor,1191 El Camino Real,Santa Clara,-121.94939,37.353756,Santa Clara,No hours listed,95050
422,Princeton Plaza Cfm,1375 Blossom Hill Road,San Jose,-121.88917,37.2439,Santa Clara,No hours listed,95118
439,Cambrian Park Plaza Cfm,14900 Camden Ave,San Jose,-121.93043999999999,37.26162,Santa Clara,No hours listed,95124
442,Safeway 2934,100 S 2nd St,San Jose,-121.88805,37.334831,Santa Clara,No hours listed,95113
479,24 market,2010 Story Rd,San Jose,-121.83717,37.343807,Santa Clara,No hours listed,95122
488,Bon Fare Market 12,2907 The Villages Pkwy,San Jose,-121.76043999999999,37.290836,Santa Clara,No hours listed,95135
507,Charlies Liquor Market,166 W 10th St,Gilroy,-121.56773000000001,36.999699,Santa Clara,No hours listed,95020
525,Super Liquor & Food,3255 Sierra Rd,San Jose,-121.84821000000001,37.399277000000005,Santa Clara,No hours listed,95132
573,Pacheco Pass Chevron 5864,6901 Cameron Blvd,Gilroy,-121.54737,37.003456,Santa Clara,No hours listed,95020
579,Santa Clara Vmc,751 South Bascom Ave.,Santa Clara,-121.93185,37.312866,Santa Clara,No hours listed,95128
596,LA CANASTA GROCERY,3074 Monterey Hwy,San Jose,-121.84546999999999,37.288071,Santa Clara,No hours listed,95111
615,J B Liquor,1096 McLaughlin Ave,San Jose,-121.85383999999999,37.333061,Santa Clara,No hours listed,95122
622,Chevron 1517,825 E Dunne Ave,Morgan Hill,-121.63701,37.130356,Santa Clara,No hours listed,95037
628,Kaiser San Jose,270 International Cir,San Jose,-121.79956999999999,37.240433,Santa Clara,No hours listed,95119
644,"Nmso, Inc. 68117",1370 Camden Ave,Campbell,-121.94438999999998,37.268932,Santa Clara,No hours listed,95008
659,Anchor Business Ventures Inc 83297,5498 Monterey Hwy,San Jose,-121.80373999999999,37.256599,Santa Clara,No hours listed,95111
665,California Food Mart,100 W Hamilton Ave,Campbell,-121.95178,37.294163,Santa Clara,No hours listed,95008
690,THE MILK PAIL DAIRY,2585 California St,Mountain View,-122.10998000000001,37.405445,Santa Clara,No hours listed,94040
715,S & S MARKET,1148 S Capitol Ave,San Jose,-121.82623999999998,37.350266,Santa Clara,No hours listed,95127
734,As Om Inc.,1718 Ocala Ave,San Jose,-121.83408999999999,37.33139,Santa Clara,No hours listed,95122
743,Super Gas & Mart,498 S 4th St,San Jose,-121.88186999999999,37.330284000000006,Santa Clara,No hours listed,95112
747,Middle East Food,26 Washington St,Santa Clara,-121.93825,37.338425,Santa Clara,No hours listed,95050
770,Va Palo Alto,3801 Miranda Ave.,Palo Alto,-122.13911,37.401314,Santa Clara,No hours listed,94304
772,ZAD Grocery,4481 Stevens Creek Blvd,Santa Clara,-121.98085,37.323147,Santa Clara,No hours listed,95051
781,San Miguel Taqueria Y Carniceria,960 E Santa Clara St,San Jose,-121.8713,37.345290999999996,Santa Clara,No hours listed,95116
791,A1 Groceries,143 E Virginia St,San Jose,-121.87868999999999,37.325466,Santa Clara,No hours listed,95112
792,H & R Liquors 1,900 Lincoln Ave,San Jose,-121.90536000000002,37.314178000000005,Santa Clara,No hours listed,95126
