,site_name,address,city,long,lat,county,lat_gmaps,lng_gmaps,hours,zipcode,phone,website,status
0,Dollar Tree 5522,2222 Business Cir,San Jose,-121.93281,37.323013,Santa Clara,37.3228773,-121.9329683,"Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 8:00 PM",95128,(669) 212-4078,https://www.dollartree.com/locations/ca/san-jose/5522/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
1,"Joya Supermarket, Llc.",2512 California St,Mountain View,-122.10678999999999,37.403904,Santa Clara,37.40403200000001,-122.106424,"Monday: 7:00 AM – 9:30 PM
Tuesday: 7:00 AM – 9:30 PM
Wednesday: 7:00 AM – 9:30 PM
Thursday: 7:00 AM – 9:30 PM
Friday: 7:00 AM – 9:30 PM
Saturday: 7:00 AM – 9:30 PM
Sunday: 7:00 AM – 9:30 PM",94040,(650) 935-2235,http://www.joyasupermarketca.com/,OPERATIONAL
2,Safeway 2887,150 E El Camino Real,Sunnyvale,-122.03108,37.366657000000004,Santa Clara,37.3647216,-122.0307044,"Monday: 5:00 AM – 11:00 PM
Tuesday: 5:00 AM – 11:00 PM
Wednesday: 5:00 AM – 11:00 PM
Thursday: 5:00 AM – 11:00 PM
Friday: 5:00 AM – 11:00 PM
Saturday: 5:00 AM – 11:00 PM
Sunday: 5:00 AM – 11:00 PM",94087,(408) 732-1259,https://local.safeway.com/safeway/ca/sunnyvale/150-e-el-camino-real.html?utm_source=G&utm_medium=Maps&utm_campaign=G+Places,OPERATIONAL
3,Morgans Hill Market,16935 Monterey St,Morgan Hill,-121.64956000000001,37.124382000000004,Santa Clara,37.1242,-121.6498244,No hours listed,95037,No formatted_phone_number listed,No website listed,OPERATIONAL
4,Bakery/Panaderia La Mejor,1239 E Julian St,San Jose,-121.87021999999999,37.351727000000004,Santa Clara,37.3519128,-121.870565,"Monday: 5:00 AM – 10:00 PM
Tuesday: 5:00 AM – 10:00 PM
Wednesday: 5:00 AM – 10:00 PM
Thursday: 5:00 AM – 10:00 PM
Friday: 5:00 AM – 10:00 PM
Saturday: 5:00 AM – 10:00 PM
Sunday: 5:00 AM – 9:45 PM",95116,(408) 287-2447,No website listed,OPERATIONAL
5,6 To Late Food & Liquors,5138 Monterey Hwy,San Jose,-121.81345,37.262405,Santa Clara,37.2628567,-121.8133787,"Monday: 7:00 AM – 12:00 AM
Tuesday: 7:00 AM – 12:00 AM
Wednesday: 7:00 AM – 12:00 AM
Thursday: 7:00 AM – 12:00 AM
Friday: 7:00 AM – 12:00 AM
Saturday: 7:00 AM – 12:00 AM
Sunday: 7:00 AM – 12:00 AM",95111,No formatted_phone_number listed,No website listed,OPERATIONAL
6,Dollar Tree 5212,2585 Almaden Rd,San Jose,-121.88273999999998,37.283138,Santa Clara,37.28293300000001,-121.8833911,"Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM",95125,(408) 826-3256,https://www.dollartree.com/locations/ca/san-jose/5212/?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,OPERATIONAL
7,TAJ MAHAL,3109 El Camino Real,Santa Clara,-121.98295,37.352505,Santa Clara,37.35322329999999,-121.9828744,"Monday: 9:00 AM – 10:00 PM
Tuesday: 9:00 AM – 10:00 PM
Wednesday: 9:00 AM – 10:00 PM
Thursday: 9:00 AM – 10:00 PM
Friday: 9:00 AM – 10:00 PM
Saturday: 9:00 AM – 10:00 PM
Sunday: 9:00 AM – 10:00 PM",95051,(408) 247-4507,http://tajmahalfreshmarket.com/,OPERATIONAL
8,Tolentino's Meat Market,17865 Monterey Rd,Morgan Hill,-121.65817,37.134521,Santa Clara,37.1342772,-121.6586391,"Monday: 8:00 AM – 9:00 PM
Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: 8:00 AM – 9:00 PM",95037,(831) 269-0292,No website listed,OPERATIONAL
9,Co 6 Trai Cay,992 Story Rd,San Jose,-121.85501000000001,37.330822,Santa Clara,37.3306945,-121.8551491,No hours listed,95122,No formatted_phone_number listed,No website listed,No business_status listed
10,GURU'S FOOD & LIQUOR,501 N 17th St,San Jose,-121.88093,37.352528,Santa Clara,37.35257670000001,-121.8812095,"Monday: 7:00 AM – 12:00 AM
Tuesday: 7:00 AM – 12:00 AM
Wednesday: 7:00 AM – 12:00 AM
Thursday: 7:00 AM – 12:00 AM
Friday: 7:00 AM – 12:00 AM
Saturday: 7:00 AM – 12:00 AM
Sunday: 7:00 AM – 12:00 AM",95112,(408) 294-9338,No website listed,OPERATIONAL
11,Lucky 222,1641 N Capitol Ave,San Jose,-121.87298,37.397304999999996,Santa Clara,37.39675100000001,-121.873575,"Monday: 6:00 AM – 10:00 PM
Tuesday: 6:00 AM – 10:00 PM
Wednesday: 6:00 AM – 10:00 PM
Thursday: 6:00 AM – 10:00 PM
Friday: 6:00 AM – 10:00 PM
Saturday: 6:00 AM – 10:00 PM
Sunday: 6:00 AM – 10:00 PM",95132,(408) 258-6641,No website listed,OPERATIONAL
12,Etminan Market,1373 Kooser Rd,San Jose,-121.88933999999999,37.246254,Santa Clara,37.2465625,-121.8889355,"Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 10:00 AM – 7:00 PM",95118,(408) 622-6778,No website listed,OPERATIONAL
13,STORY SUPER MARKET,1200 Story Rd,San Jose,-121.85291000000001,37.333096000000005,Santa Clara,37.33285699999999,-121.8525102,"Monday: 8:30 AM – 8:00 PM
Tuesday: 8:30 AM – 8:00 PM
Wednesday: 8:30 AM – 8:00 PM
Thursday: 8:30 AM – 8:00 PM
Friday: 8:30 AM – 8:00 PM
Saturday: 8:30 AM – 8:00 PM
Sunday: 8:30 AM – 8:00 PM",95122,(408) 279-1200,No website listed,OPERATIONAL
14,DELMAS MARKET,101 Delmas Ave,San Jose,-121.89773000000001,37.330172999999995,Santa Clara,37.33007689999999,-121.8979745,"Monday: 7:00 AM – 1:00 AM
Tuesday: 7:00 AM – 1:00 AM
Wednesday: 7:00 AM – 1:00 AM
Thursday: 7:00 AM – 1:00 AM
Friday: 7:00 AM – 1:00 AM
Saturday: 7:00 AM – 1:00 AM
Sunday: 7:00 AM – 1:00 AM",95110,(408) 293-1303,No website listed,OPERATIONAL
15,Asian Live Seafood,2559 S King Rd,San Jose,-121.82345,37.319717,Santa Clara,37.3189003,-121.8243831,"Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 7:00 PM",95122,(408) 223-0458,No website listed,OPERATIONAL
16,7-eleven 14265G,1880 Curtner Ave,San Jose,-121.92284,37.275753,Santa Clara,37.2753462,-121.9231326,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours",95124,(408) 377-1081,https://www.7-eleven.com/locations/ca/san-jose/1880-curtner-ave-14265?yext=14265,OPERATIONAL
17,Country Store,16390 Monterey St,Morgan Hill,-121.64578,37.117954,Santa Clara,37.11807960000001,-121.6456137,"Monday: 7:00 AM – 10:00 PM
Tuesday: 7:00 AM – 10:00 PM
Wednesday: 7:00 AM – 10:00 PM
Thursday: 7:00 AM – 10:00 PM
Friday: 7:00 AM – 10:00 PM
Saturday: 7:00 AM – 10:00 PM
Sunday: 8:00 AM – 10:00 PM",95037,(408) 779-5512,No website listed,OPERATIONAL
