translation_id,en
about.close,Close
about.contact,Contact Us
about.contactus.email,email
about.contactus.info,"This page is powered by the {0} of {1}. For questions, please contact us via email at {2}."
about.devhelp.addbusiness,add a business
about.devhelp.addinfo,Use our online forms to {0} or {1}.
about.devhelp.ambassadorinfo,Help us expand coverage across the Bay Area. Ambassadors will work with local government and business associations to bring Bay Area Community Resources to their community. Email us at {0} for tools and resources to get started.
about.devhelp.becomeambassador,Become a community ambassador
about.devhelp.conduct,Code of Conduct
about.devhelp.devnote,Developers - find our {0} and {1} on GitHub.
about.devhelp.dupsite,Use our code to build a site for your state or region:
about.devhelp.info,"This is an open-source project, built to share and expand to other communities."
about.devhelp.source,source code
about.devhelp.support,Support your neighbors and local businesses - help us grow!
about.devhelp.updatebusiness,update an existing entry
about.getinvolved,Get Involved
about.info,Our database of resources benefits from information collected by these organizations:
about.linktext,About us
about.orgs.bureau,Chapel Hill/Orange County Visitors Bureau
about.orgs.cfa,Code for America
about.orgs.chb,Chapel Hill Brigade
about.orgs.farmstewards,Carolina Farm Stewardship Association
about.orgs.localistnc,#LocalListNC
about.orgs.partnership,Chapel Hill Downtown Partnership
about.orgs.dcl,Data Challenge Lab
about.orgs.bln,Big Local News
about.partners,Info Sources
about.title,About this site
category.childcare,Child care
category.family,Prepared family meal|Prepared family meals
category.farm,Farm or farmer market|Farms & farmers' markets
category.food_bev,Speciality food & beverage
category.free_grocery,Free grocery|Free groceries
category.free_food,Free food for the public
category.grocery,Grocery|Groceries
category.meal,Free prepared meal|Free prepared meals
category.ballot_drop,Ballot drop off locations
category.petsupplies,Pet supplies
category.pharmacy,Pharmacy|Pharmacies
category.restaurant,Restaurant|Restaurants
category.school,School meal|School meals
category.snap_wic_retailer,CalFresh/WIC retailer|CalFresh/WIC retailers
dayofweek.any,Any
dayofweek.friday,Friday
dayofweek.monday,Monday
dayofweek.saturday,Saturday
dayofweek.sunday,Sunday
dayofweek.thursday,Thursday
dayofweek.tuesday,Tuesday
dayofweek.wednesday,Wednesday
label.address,Address
label.allweek,All week
label.backtolist,Back to list
label.call_in_advance,Must call in advance
label.children,For children
label.close,Close
label.closed,Closed
label.closed-on,Closed on
label.closed-today,Closed today
label.closedonday,Closed (on the current selected day)
label.curbside_pickup,Curbside pick-up
label.curbside_or_delivery,Delivery or curbside pick-up
label.delivery,Delivery
label.discount_medical,Medical worker discount|Medical worker discounts
label.discounts,Discounts
label.drive_thru,Drive thru
label.email,Email
label.email_lowercase,email
label.farmers_market,Farmers' market|Farmers' markets
label.farm_pick_up,On-farm pick-up
label.free,Free resource
label.free_groceries,Free grocery location|Free grocery locations
label.freemeals,Free meal location|Free meal locations
label.free_produce,Free produce location|Free produce locations
label.require_child,Child needs to be present
label.must_show_id,Must show ID
label.all_children,Serving all children
label.enrolled_children,Only students enrolled in district
label.ballot_outdoor,Outdoor ballot drop
label.ballot_indoor,Indoor ballot drop
label.twentyfourhrs,Open 24 Hours
health.med_testing,COVID Testing
health.med_primary_care,Primary care
health.med_pediatrics,Pediatrics
health.med_senior,Senior care
health.med_women,Women's health care
health.med_urgent_care,Urgent care
health.med_dental,Dental care
health.med_vision,Vision care
health.med_pharmacy,Pharmacy
health.med_mental_health,Mental health care
health.med_hotline,Hotline
health.med_addiction,Addiction and recovery support
health.med_domestic_violence,Victim of domestic violence support
category.cash_assistance,Cash assistance
label.fin_grocery,Cash for groceries
label.fin_housing,Cash for rent
label.fin_legal,Cash for legal fees
label.fin_medical,Cash for medical fees
label.fin_utilities,Cash for utilities
label.freefood,Free food location|Free food locations
label.instructions,Instructions
label.mapkey,Map Key
label.meal_public,Meals open to public
label.meal_student,Meals for children
label.must_preorder,Must pre-order
label.normalhours,Normal hours
label.notes,Notes
label.offers,Offers
label.open,Open
label.openinghours,Hours
label.order_online,Order & pay online
label.phone,Phone
label.public,Open to all
label.selectacategory,Select a category...
label.selected,Selected
label.seniorhours,Senior hours
label.seniors,For seniors
label.snap,CalFresh-accepting location|CalFresh-accepting locations
label.special_hours,Senior shopping hours
label.website,Website
label.wic,WIC-accepting location|WIC-accepting locations
languages.ar,Arabic
languages.en,English
languages.es,Spanish
languages.fr,French
languages.ja,Japanese
languages.ko,Korean
languages.ms,Malay
languages.zh,Simplified Chinese
languages.vi,Vietnamese
languages.tl,Tagalog
sidebar.home,Home
sidebar.close-panel,Close search panel
sidebar.info-about-us,"Currently, this site supports the Bay Area, CA. With"
sidebar.info-end-text,", we can expand our coverage."
sidebar.info-link-text,your help
sidebar.open-panel,Open search panel
sidebar.shopsafe,"Please, SHOP SAFE!"
sidebar.sixfeet,Stay 6 ft. apart when shopping.
sidebar.stayhome,"If you are sick, stay home."
sidebar.washhands,Wash your hands often.
sidebar.what-do-you-need,What do you need?
sidebar.when-do-you-need-it,When do you need it?
title,{0} COVID Support
label.ebt_pay_phone,Pay with EBT over the phone
label.ebt_pay_online,Pay with EBT online
category.food_resources,Food resources
category.legal_resources,Legal resources
category.medical_resources,Medical resources
category.mental_health_resources,Mental health resources
county.alameda,Alameda county
county.anywhere,Anywhere
county.contra-costa,Contra Costa county
county.marin,Marin county
county.napa,Napa county
county.san-francisco,San Francisco county
county.san-mateo,San Mateo county
county.santa-clara,Santa Clara county
county.solano,Solano county
county.sonoma,Sonoma county
county.monterey,Monterey county
label.open_today,Open today
label.pay_phone,Pay with EBT over the phone
label.safe_pick_up,Safe pick-up options
label.zoom_out_for_more_results,Zoom out for more results.
legal.general_info,General information
legal.legal_assistance,Legal assistance
label.in_person,In-person clinics
medical.telehealth,Telehealth clinics
mental.in_person,In-person assistance
label.telehealth,Telehealth assistance
message.no_location_in_this_area,No result in this area.
sidebar.current_location,Current location
sidebar.what,Resource ...
sidebar.what-are-you-looking-for,What are you looking for?
sidebar.where,Near ...
legal.legal_criminal,Criminal justice support
legal.legal_domviolence,Domestic violence support
legal.legal_worker_protection,Workers' rights support
legal.legal_healthcare,Healthcare benefits support
legal.legal_housing,Housing support
legal.legal_immigration,Immigration support
about.front-page.p1,Welcome!
about.front-page.p2,"We provide information on resources such as free meals, food, legal assistance, and medical help."
about.front-page.p3,Start by selecting where you are and what you're looking for.
about.front-page.p4.text,"We are affiliated with Stanford's {0} and {1} and are extremely grateful to Bill Behrman, Sara Altman, and Cheryl Phillips for their ongoing support and advice."
about.front-page.p4.link0,Data Challenge Lab
about.front-page.p4.link1,Big Local News
about.about-us-sources,"Our database of information benefits from data collected by the following organizations:
USDA SNAP Store locator
USDA WIC Store locator
Second Harvest of Silicon Valley
Stanford Pediatric Advocacy

We have a team of amazing volunteers who verify the data and collect any additional information such as additional Covid-19 senior hours, safe curbside pick-up options etc."
about.about-us-contact,"For questions on any data additions or inaccuracies, or for any other questions, please contact {0}."
about.about-us-contact.link0,baycommunityresource@gmail.com
about.about-us-disclaimer,"This Bay Area Resources project is purely volunteer-driven. We have a team of humans collecting and verifying data from diverse sources. We do our best to keep all the information on the site as up-to-date as possible, however we cannot guarantee that the information is 100% accurate."
about.about-us.header,About Us
about.about-us.p1.text,"We are a volunteer-driven, open-source project to help communities navigate the COVID crisis by providing information on public resources. This project began as a {0}, and now provides information on more resources such as locations and schedules for free meals, food assistance, legal assistance, and medical help. We are part of the organization {1}."
about.about-us.p1.link1,unBox
about.about-us.p1.link0,Bay Area school meals map
about.about-us.p2.text,The development for this project was adapted from {0}.
about.about-us.p2.link,NCCovid Support
about.about-us.p3.text,"You can find more information on the project, including the source code for replicating the project, from our {0}."
about.about-us.p3.link,Github page
about.info-sources.header,Info Sources
about.info-sources.p1,Our database of information benefits from data collected by the following organizations:
about.info-source.link1,USDA SNAP Store locator
about.info-source.link2,USDA WIC Store locator
about.info-source.link3,Second Harvest of Silicon Valley
about.info-source.link4,Stanford Pediatric Advocacy
about.info-source.link5,Berkeley Ecology Center
about.info-sources.p2,"We have a team of amazing volunteers who verify the data and collect any additional information such as additional Covid-19 senior hours, safe curbside pick-up options etc."
about.contact-us.header,Contact Us
about.contact-us.p1.text,"For questions on any data additions or inaccuracies, or for any other questions, please contact {0}."
about.contact-us.p1.link,baycommunityresource@gmail.com
about.contact-us.contact-us-header,Contact us here
about.disclaimer.header,Disclaimer
about.disclaimer.p,"This Bay Area Resources project is purely volunteer-driven. We have a team of humans collecting and verifying data from diverse sources. We do our best to keep all the information on the site as up-to-date as possible, however we cannot guarantee that the information is 100% accurate."
message.no_location_meet_these_criteria,No result for these criteria.
about.spthanks.p,Special thanks to {0} and {1} for powering our site.
about.spthanks.link0,CARTO
about.spthanks.link1,Mapbox
about.our-team.header,Our team
about.our-team.sourcing,Data sourcing and translation:
about.our-team.dev,Data engineering and development:
about.our-team.resource,resource coordinators
about.our-team.translate,translators
about.our-team.dqual,data quality
about.our-team.internal-community,internal community
about.our-team.projl,project lead
about.our-team.devlead,development lead
about.our-team.dqlead,data quality lead
sidebar.feedback,Feedback
about.dataaccess.header,Accessing our Data
about.dataaccess.p,You can access our data via an open project at {0} (login required).
about.dataaccess.link,Big Local News
message.loading,Loading ...
message.ie_compatibility,"This website was not optimized for Internet Explorer and you may not have acces to all functionalities. For a better experience, please use a different browser (for example Mozilla Firefox）。"
message.area_not_covered,We don't cover this area.
label.zipcode,Zipcode
message.select_resource,Select a resource.
message.provide_zip,Provide a zipcode.
message.error_getting_zip,There was an error with the provided zipcode. Please try again.
label.suggest_an_edit,Suggest an edit
edit.intro,Please update the information for this location in the form below. We really appreciate your help in maintaining these resources up to date.
edit.thanks,We've received your edits. Thank you!
edit.provider_name,Provider name
edit.location_name,Location name
edit.website,Website
edit.opening_hours,Opening hours:
edit.senior_hours,Senior hours:
edit.additional_info,Additional information:
edit.additional_info_text,"Anything else that is missing, needs changing or should be displayed?"
edit.additional_info_placeholder,"New service, location permanently closed, senior shopping hours ..."
label.reset,Reset
label.submit,Submit
edit.no_edit,Nothing has changed.
edit.submission_error,There was an error during the form submission. Please try again or contact us at baycommunityresource@gmail.com.
pebt.header,Food benefits for kids who get free or reduced-price meals.
pebt.lead,Apply for P-EBT by July 15th.
pebt.link,Apply now
pebt.link_url,https://ca.p-ebt.org/en/
category.healthcare,Healthcare
label.last_updated,Details last updated
message.error_loading_results,There was an error. Please try again.
ux_study.text_main,We want to learn more about what is top of mind for you at this time and get your input on how to improve the website.
ux_study.link_text,Sign up now.
ux_study.link_url,https://bit.ly/bac-interviews
ux_study.text_sub,"If you are selected for interviewing,  all sessions will be conducted remotely via phone / video chat, and  we will compensate you for your time."
ux_study.header,Help us serve you better.
label.in_store_pickup,Take-away
label.delivery,Delivery
label.catering,Catering
label.dv_legal,DV legal support
label.dv_housing,DV housing support
label.dv_medical,DV medical support
