translation_id,es
about.close,Cerrar
about.contact,Contáctenos
about.contactus.email,Email
about.contactus.info,"Esta página funciona con {0} de {1}. Para preguntas, contáctenos por correo electrónico al {2}."
about.devhelp.addbusiness,agregar un negocio
about.devhelp.addinfo,Utilice nuestros formularios en línea para {0} o {1}.
about.devhelp.ambassadorinfo,Ayúdenos a ampliar la cobertura en toda el Área de la Bahía. Los embajadores trabajarán con el gobierno local y las asociaciones empresariales para llevar los Recursos de la Comunidad del Área de la Bahía a su comunidad. Envíenos un correo electrónico a {0} para obtener herramientas y recursos para comenzar.
about.devhelp.becomeambassador,Conviértase en embajador de la comunidad
about.devhelp.conduct,Código de Conducta
about.devhelp.devnote,Desarrolladores: encuentre nuestros {0} y {1} en GitHub.
about.devhelp.dupsite,"Alternativamente, puede duplicar un sitio para su estado."
about.devhelp.info,"Este es un proyecto de código abierto, creado para compartir y expandirse a otras comunidades."
about.devhelp.source,codigo fuente
about.devhelp.support,Apoye a sus vecinos y negocios locales: ¡ayúdenos a crecer!
about.devhelp.updatebusiness,actualizar una entrada existente
about.getinvolved,Involucrarse
about.info,Nuestra base de datos de recursos se beneficia de la información recopilada por estas organizaciones:
about.linktext,Sobre nosotros
about.orgs.bureau,Oficina de Visitantes de Chapel Hill / Condado de Orange
about.orgs.cfa,Código para América
about.orgs.chb,Brigada de Chapel Hill
about.orgs.farmstewards,Asociación de administración agrícola de Carolina
about.orgs.localistnc,#LocalListNC
about.orgs.partnership,Asociación del centro de Chapel Hill
about.orgs.dcl,Laboratorio de Retos de Datos
about.orgs.bln,Noticias Locales Grandes
about.partners,Fuentes de información
about.title,Sobre este sitio
category.childcare,Cuidado de los niños
category.family,Comida familiar preparada | Comida familiar preparada
category.farm,Granja o Mercado de Granjeros | Granjas y Mercados de Agricultores
category.food_bev,Comida y bebida de especialidad
category.free_grocery,Comestible gratis|Comestibles gratis
category.free_food,Comida gratis para el público
category.grocery,Comestibles
category.meal,Comida gratis | Comidas gratis
category.ballot_drop,Urna de la boleta
category.petsupplies,Suministros de mascotas
category.pharmacy,Farmacia | Farmacias
category.restaurant,Restaurante | Restaurantes
category.school,Comida escolar | Comidas escolares
category.snap_wic_retailer,Comerciante CalFresh/WIC|Comerciantes CalFresh/WIC
dayofweek.any,Alguna
dayofweek.friday,Viernes
dayofweek.monday,Lunes
dayofweek.saturday,Sábado
dayofweek.sunday,Domingo
dayofweek.thursday,Jueves
dayofweek.tuesday,Martes
dayofweek.wednesday,Miércoles
label.address,Dirección
label.allweek,Toda la semana
label.backtolist,Volver a la lista
label.call_in_advance,Debe llamar de antemano
label.children,Para los niños
label.close,Cerrar
label.closed,Cerrado
label.closed-on,Cerrado el
label.closed-today,Cerrado hoy
label.closedonday,Cerrado (en el día seleccionado actual)
label.curbside_pickup,Negocio con recogida en la acera|Negocios con recogida en la acera
label.curbside_or_delivery,Se entrega o se recoge en la acera
label.delivery,Entrega
label.discount_medical,Descuento para trabajadores médicos|Descuentos para trabajadores médicos
label.discounts,Descuentos
label.drive_thru,Auto-servicio
label.email,Email
label.email_lowercase,email
label.farmers_market,Mercado de agricultores | Mercados de agricultores
label.farm_pick_up,Recogida en la granja
label.free,Recurso gratis
label.free_groceries,Tienda de comestibles gratis|Tiendas de comestibles gratis
label.freemeals,Lugar de comidas gratis|Lugares de comidas gratis
label.free_produce,Lugar de productos agrícolas gratuitso|Lugares de productos agrícolas gratuitos
label.require_child,El niño debe estar presente
label.must_show_id,Debe mostrar identificación
