translation_id,ko
about.close,닫기
about.contact,문의하기
about.contactus.email,이메일
about.contactus.info,이 페이지는 {1}의 {0} 에 의해 제공됩니다. 궁금한 점은 {2}으로 이메일을 통해 문의하시기 바랍니다.
about.devhelp.addbusiness,사업을 추가하다
about.devhelp.addinfo,온라인 양식 {0} 또는 {1}에 사용하시면 됩니다.
about.devhelp.ambassadorinfo,베이 지역에서 우리의 적용범위를 넒히도록 도와주십시요. 우리의 대사들은 Bay Area Community Resources 를 지역사회에 더 알리기위해 각 시 및 사업체와 공동협력하도록 하겠습니다. 여기에 동참하기를 원하시는분은 {0} 에 이메일을 보내주시기 바랍니다.
about.devhelp.becomeambassador,지역 사회의 대사가 되십시오
about.devhelp.conduct,행동 강령
about.devhelp.devnote,개발자-GitHub에서 {0} 와 {1} 을 찾을 수 있습니다.
about.devhelp.dupsite,"다른 주에 계신다면, 당신의 주를 위해 이 사이트를 복사 하셔도 됩니다."
about.devhelp.info,이 프로젝트는 다른 커뮤니티와 공유하고 확장하기 위해 제작 된 오픈 소스 프로젝트입니다.
about.devhelp.source,소스 코드
about.devhelp.support,이웃과 지역 비즈니스를 지원하십시오-우리가 성장하도록 도와주세요!
about.devhelp.updatebusiness,기존 항목을 업데이트
about.getinvolved,참여하기
about.info,우리의 리소스 데이터베이스는 다음 조직에서 수집한 정보를 활용 합니다.
about.linktext,회사 소개
about.orgs.bureau,채플 힐 / 오렌지 카운티 관광청
about.orgs.cfa,미국을위한 코드
about.orgs.chb,채플 힐 여단
about.orgs.farmstewards,캐롤라이나 농장 관리 협회
about.orgs.localistnc,#LocalListNC
about.orgs.partnership,채플 힐 다운타운 파트너십
about.orgs.dcl,데이터 챌린지 랩
about.orgs.bln,빅 로컬 뉴스
about.partners,정보 출처
about.title,이 사이트에 대하여
category.childcare,육아
category.family,가족 음식 세트 | 가족 음식 세트
category.farm,농장 & 시장 | 농장 & 시장
category.food_bev,전문 음식과 음료
category.free_grocery,무료 식품| 무료 식품
category.free_food,대중을위한 무료 음식
category.grocery,식료품 | 식료품 점
category.meal,무료 식사 | 무료 식사
category.petsupplies,애완 용품
category.pharmacy,약국 | 약국
category.restaurant,식당 | 레스토랑
category.school,학교 급식 | 학교 급식
category.snap_wic_retailer,칼프레쉬/ WIC 소매상인 | 칼프레쉬/WIC 소매상인
dayofweek.any,어떤
dayofweek.friday,금요일
dayofweek.monday,월요일
dayofweek.saturday,토요일
dayofweek.sunday,일요일
dayofweek.thursday,목요일
dayofweek.tuesday,화요일
dayofweek.wednesday,수요일
label.address,주소
label.allweek,일주일
label.backtolist,다시 목록으로
label.call_in_advance,먼저 전화하길 바랍니다.
label.children,아이들을 위한
label.close,닫기
label.closed,닫은
label.closed-on,휴무
label.closed-today,오늘 휴무
label.closedonday,휴관일 (현재 선택한 요일)
label.curbside_pickup,보도 픽업 레스토랑
label.curbside_or_delivery,배달 또는 픽업
label.delivery,배달
label.discount_medical,의료인 할인 장소
label.discounts,할인
label.drive_thru,드라이브스루
label.email,이메일
label.email_lowercase,이메일
label.farmers_market,농민 시장 | 농민 시장
label.farm_pick_up,농장 픽업
label.free,무료 자원
label.free_groceries,무료 식료품류 장소
label.freemeals,무료 식사 장소
label.free_produce,무료 농산물 장소
label.require_child,자녀가 있어야합니다.
label.must_show_id,신분증을 보여 주셔야합니다
label.all_children,모든 아이들에게 봉사
label.enrolled_children,학군에 등록 된 학생 만
label.ballot_outdoor,야외 투표 용지
label.ballot_indoor,실내 투표 용지
label.twentyfourhrs,24 시간 영업
health.med_testing,COVID 테스트
health.med_primary_care,일차 진료
health.med_pediatrics,소아과
health.med_senior,노인 간호
health.med_women,여성 건강 관리
health.med_urgent_care,응급 치료
health.med_dental,치과 치료
health.med_vision,시력 관리
health.med_pharmacy,약국
health.med_mental_health,정신 건강 관리
health.med_hotline,핫라인
health.med_addiction,중독 및 회복 지원
health.med_domestic_violence,가정 폭력 피해자 지원
category.cash_assistance,현금 지원
label.fin_grocery,식료품을위한 현금
label.fin_housing,임대 현금
label.fin_legal,법률 수수료 현금
label.fin_medical,의료비 현금
label.fin_utilities,유틸리티에 대한 현금
label.freefood,무료 음식 위치 | 무료 음식 위치
label.instructions,방법
label.mapkey,지도 키
label.meal_public,공개 식사
label.meal_student,학생 식사
label.must_preorder,선주문 필요
label.normalhours,정상 시간
label.notes,노트
label.offers,서비스
label.open,열다
label.openinghours,개관 시간
label.order_online,온라인 주문
label.phone,전화
label.public,무료 개방
label.selectacategory,카테고리를 선택하십시오 ...
label.selected,선택된
label.seniorhours,노약자 쇼핑 시간
label.seniors,노인을 위한
label.snap,칼프레쉬를 받는곳 | 칼프레쉬 받는곳
label.special_hours,노약자 쇼핑
label.website,웹 사이트
label.wic,WIC 받는곳 | WIC 받는곳
languages.ar,아라비아어
languages.en,영어
languages.es,스페인어
languages.fr,프랑스어
languages.ja,일본어
languages.ko,한국어
languages.ms,말레이 사람
languages.zh,중국어
languages.vi,베트남어
languages.tl,필리핀어
sidebar.home,집
sidebar.close-panel,검색 창 닫기
sidebar.info-about-us,현재 이 사이트는 베이 지역을 제공합니다.
sidebar.info-end-text,웹사이트를 확장시킬 수 있습니다.
sidebar.info-link-text,당신의 도움으로
sidebar.open-panel,검색 창 열기
sidebar.shopsafe,안전한 쇼핑을 기원합니다!
sidebar.sixfeet,밖에선 사람들과 6피트 (2미터) 정도 떨어져 있으세요.
sidebar.stayhome,아프면 집에 계세요.
sidebar.washhands,손을 자주 씻으세요.
sidebar.what-do-you-need,무엇이 필요합니까?
sidebar.when-do-you-need-it,언제 필요합니까?
title,{0} COVID 지원
label.ebt_pay_phone,전화해서 EBT로 지불하기
label.ebt_pay_online,온라인에서 EBT로 지불하기
category.food_resources,음식 자원
