translation_id,tl
about.close,Isara
about.contact,Makipag-ugnayan sa amin
about.contactus.email,email
about.contactus.info,"Ang pahinang ito ay nasa pamamahala ng {0} of {1}. Para sa mga katanungan at pagkikipagugnayan, magyari lang po mag-email sa {2}."
about.devhelp.addbusiness,isama ang isang negosyo
about.devhelp.addinfo,Gamitin ang mga online form para sa {0} o {1}.
about.devhelp.ambassadorinfo,Tulungan kaming palawakin ang saklaw sa buong Bay Area. Makikipagtulungan ang mga embahador kasama ang mga lokal na pamahalaan at mga asosasyon sa negosyo upang dalhin ang Bay Area Community Resources sa kanilang komunidad. I-email sa amin ang {0} para magsimula.
about.devhelp.becomeambassador,Maging isang embahador ng komunidad
about.devhelp.conduct,Kodigo ng mga alituntunin
about.devhelp.devnote,Mga developer - hanapin ang aming {0} at {1} sa GitHub.
about.devhelp.dupsite,Gamitin ang aming kodigo upang makabuo ng isang site para sa iyong estado o rehiyon:
about.devhelp.info,"Ito ay isang bukas na mapagkukunan na proyekto, na binuo upang ibahagi at mapalawak sa ibang mga komunidad."
about.devhelp.source,Pinagmulan kodigo
about.devhelp.support,Suportahan ang iyong mga kapitbahay at lokal na negosyo - tulungan kaming lumago!
about.devhelp.updatebusiness,i-update ang isang umiiral na tala
about.getinvolved,Makisali
about.info,Ang aming database ng mga mapagkukunan ay nakikinabang mula sa impormasyong nakolekta ng mga samahang ito:
about.linktext,Tungkol sa amin
about.orgs.bureau,Do not translate
about.orgs.cfa,Do not translate
about.orgs.chb,Do not translate
about.orgs.farmstewards,Do not translate
about.orgs.localistnc,Do not translate
about.orgs.partnership,Do not translate
about.orgs.dcl,Laboratoryo ng Hamon ng Data
about.orgs.bln,Malaking Lokal ng Balita
about.partners,Pinagmulan ng Impormasyon
about.title,Tungkol sa site na ito
category.childcare,Pangangalaga sa mga kabataan
category.family,Inihandang pagkain para sa pamilya|Mga inihandang pagkain para sa pamilya
category.farm,Sakahan o merkado ng mga magsasaka|Mga sakahan & mga merkado ng mga magsasaka
category.food_bev,Espesyal na pagkain at inumin
category.free_grocery,Libreng Groseri|Mga Libreng Groseri
category.free_food,Libreng pagkain para sa publiko
category.grocery,Groseri|Mga Groseri
category.meal,Libreng inihandang pagkain|Mga libreng inihandang pagkain
category.ballot_drop,Lugar ng drop-off ng balota
category.petsupplies,Gamit para sa mga alagang hayop
category.pharmacy,Parmasya|Mga Parmasya
category.restaurant,Restawran|Mga Restawran
category.school,Pagkain sa paaralan|Mga pagkain sa paaralan
category.snap_wic_retailer,Nagtitinda ng CalFresh/WIC|Mga nagtitinda ng CalFresh/WIC
dayofweek.any,Anumang araw
dayofweek.friday,Biyernes
dayofweek.monday,Lunes
dayofweek.saturday,Sabado
dayofweek.sunday,Linggo
dayofweek.thursday,Huwebes
dayofweek.tuesday,Martes
dayofweek.wednesday,Miyerkules
label.address,Tirahan
label.allweek,Buong linggo
label.backtolist,Bumalik sa listahan
label.call_in_advance,Dapat tumawag muna
label.children,Para sa mga kabataan
label.close,Isara
label.closed,Sarado
label.closed-on,Sarado ng
label.closed-today,Sarado Ngayon
label.closedonday,Sarado (sa kasalukuyang napiling araw)
label.curbside_pickup,Curbside pick-up
label.curbside_or_delivery,Paghahatid o curbside pick-up
label.delivery,Paghahatid
label.discount_medical,Diskwento para sa mga manggagawang medikal|Mga diskwento para sa mga manggagawang medikal
label.discounts,Mga diskwento
label.drive_thru,Drive thru
label.email,Email
label.email_lowercase,email
label.farmers_market,Merkado ng mga magsasaka | Mga merkado ng mga magsasaka
label.farm_pick_up,Pick-up sa taniman
label.free,Libreng magpakukunan
label.free_groceries,Lugar ng libreng groseri | Mga lugar ng libreng groseri
label.freemeals,Lugar ng libreng pagkain | Mga lugar ng libreng pagkain
label.free_produce,Lugar ng libreng ani | Mga lugar ng libreng ani
label.require_child,Kailangan ng presensya ng bata
label.must_show_id,Dapat ipakita ang ID
label.all_children,Paglilingkod sa lahat ng mga bata
label.enrolled_children,Ang mga mag-aaral lamang na nakatala sa distrikto
label.ballot_outdoor,Sa labas ang paghulog ng balota
label.ballot_indoor,Sa loob ang paghulog ng balota
label.twentyfourhrs,Bukas ng beinte kwatro oras
health.med_testing,Eksamen para sa COVID
health.med_primary_care,Pangunahing pangangalaga
health.med_pediatrics,Pediyatriko
