translation_id,vi
about.close,Đóng
about.contact,Liên hệ chúng tôi
about.contactus.email,Email
about.contactus.info,"Trang này được chạy bởi {0} của {1}. Nếu có câu hỏi, vui lòng liên hệ chúng tôi qua email {2}"
about.devhelp.addbusiness,Thêm một doanh nghiệp
about.devhelp.addinfo,Sử dụng tờ khai trực tuyến để {0} hoặc {1}
about.devhelp.ambassadorinfo,Giúp chúng tôi mở rộng mức độ phủ sóng trên khắp vùng Bay. Các đại sứ sẽ làm việc với chính quyền địa phương và các hiệp hội doanh nghiệp để cung cấp các tài liệu cộng đồng của vùng Bay đến với cộng đồng của họ. Email chúng tôi tại {0} để được cung cấp các công cụ và tài liệu để bắt đầu.
about.devhelp.becomeambassador,Trở thành một đại sứ cộng đồng
about.devhelp.conduct,Bộ quy tắc ứng xử
about.devhelp.devnote,Các lập trình viên - tìm {0} và {1} của chúng tôi trên GitHub.
about.devhelp.dupsite,Sử dụng mã code của chúng tôi để xây dựng một trang web cho bang hoặc vùng địa phương của bạn.
about.devhelp.info,"Đây là một dự án mở open-source, được xây dựng để chia sẻ và mở rộng ra các cộng đồng khác."
about.devhelp.source,mã nguồn
about.devhelp.support,Ủng hộ cộng đồng và các doanh nghiệp địa phương - hãy giúp chúng tôi phát triển!
about.devhelp.updatebusiness,Thay đổi một tài liệu có sẵn
about.getinvolved,Tham gia giúp đỡ
about.info,Những tài liệu của chúng tôi được thu thập từ các tổ chức sau:
about.linktext,Về tôi
about.orgs.bureau,Do not translate
about.orgs.cfa,Do not translate
about.orgs.chb,Do not translate
about.orgs.farmstewards,Do not translate
about.orgs.localistnc,Do not translate
about.orgs.partnership,Do not translate
about.orgs.dcl,Cuộc thi về dữ liệu
about.orgs.bln,Những tin tức địa phương
about.partners,Nguồn thông tin
about.title,Về trang này
category.childcare,Đồ chăm sóc trẻ em
category.family,Bữa ăn chuẩn bị sẵn|Những bữa ăn chuẩn bị sẵn
category.farm,Chợ nông sản|Các chợ nông sản
category.food_bev,Đồ ăn và đồ uống đặc trưng
category.free_grocery,Lương thực miễn phí|Các lương thực miễn phí
category.free_food,Thức ăn miễn phí cho công chúng
category.grocery,Lương thực|Lương thực
category.meal,Bữa ăn miễn phí|Những bữa ăn miễn phí
category.ballot_drop,Địa điểm bỏ phiếu bầu
category.petsupplies,Đồ cho thú nuôi
category.pharmacy,Tiệm thuốc|Những tiệm thuốc
category.restaurant,Nhà hàng|Những nhà hàng
category.school,Bữa ăn trong trường|Những bữa ăn trong trường
category.snap_wic_retailer,Nhà bán lẻ CalFresh/WIC|Những nhà bán lẻ CalFresh/WIC
dayofweek.any,Ngày bất kỳ
dayofweek.friday,Thứ Sáu
dayofweek.monday,Thứ Hai
dayofweek.saturday,Thứ Bảy
dayofweek.sunday,Chủ Nhật
dayofweek.thursday,Thứ Năm
dayofweek.tuesday,Thứ Ba
dayofweek.wednesday,Thứ Tư
label.address,Địa chỉ
label.allweek,Cả tuần
label.backtolist,Quay lại danh sách
label.call_in_advance,Phải gọi trước
label.children,Cho trẻ em
label.close,Đóng cửa
label.closed,Đóng cửa
label.closed-on,Đóng cửa vào
label.closed-today,Đóng cửa hôm nay
label.closedonday,Đóng cửa (vào ngày đang được chọn)
label.curbside_pickup,Nhận hàng tại điểm hẹn
label.curbside_or_delivery,Giao hàng tận nơi hoặc nhận hàng tại điểm hẹn
label.delivery,Giao hàng tận nơi
label.discount_medical,Ưu đãi cho nhân viên y tế
label.discounts,Giảm giá
label.drive_thru,Lái xe tạt qua
label.email,Email
label.email_lowercase,email
label.farmers_market,Chợ nông sản
label.farm_pick_up,Lấy hàng tại nông trại
label.free,Tài nguyên miễn phí
label.free_groceries,Địa điểm thực phẩm miễn phí
label.freemeals,Địa điểm đồ ăn miễn phí
label.free_produce,Địa điểm rau củ miễn phí
label.require_child,Trẻ em cần phải có mặt
label.must_show_id,Phải hiển thị ID
label.all_children,Phục vụ tất cả trẻ em
label.enrolled_children,Chỉ học sinh có ghi danh trong học khu
label.ballot_outdoor,Bỏ phiếu ngoài trời
label.ballot_indoor,Bỏ phiếu trong nhà
label.twentyfourhrs,Mở cửa 24 giờ
health.med_testing,Kiểm tra COVID
health.med_primary_care,Ưu tiên hàng đầu
health.med_pediatrics,Khoa nhi
health.med_senior,Chăm sóc người già
health.med_women,Chăm sóc sức khỏe phụ nữ
health.med_urgent_care,Chăm sóc nhẩn cấp
health.med_dental,Chăm sóc răng miệng
health.med_vision,Chăm sóc thị lực
health.med_pharmacy,Tiệm thuốc
health.med_mental_health,Chăm sóc sức khỏe tâm thần
health.med_hotline,Hotline
health.med_addiction,Hỗ trợ cai nghiện và phục hồi
health.med_domestic_violence,Hỗ trợ nạn nhân bạo lực gia đình
category.cash_assistance,Hỗ trợ tiền mặt
label.fin_grocery,Tiền cho thực phẩm
label.fin_housing,Tiền thuê nhà
label.fin_legal,Tiền cho phí pháp lý
label.fin_medical,Tiền cho phí y tế
label.fin_utilities,Tiền cho các tiện ích
label.freefood,Địa điểm thực phẩm miễn phí | Địa điểm thực phẩm miễn phí
label.instructions,Hướng dẫn
label.mapkey,Ghi chú
label.meal_public,Bữa ăn cho cộng đồng
label.meal_student,Bữa ăn cho trẻ em
label.must_preorder,Phải đặt trước
label.normalhours,Giờ bình thường | Giờ hành chính
label.notes,Ghi chú
label.offers,Lời mời
label.open,Mở cửa
label.openinghours,Giờ mở cửa
label.order_online,Đặt hàng và thanh toán điện tử
label.phone,Điện thoại
label.public,Mở cửa cho tất cả mọi người
label.selectacategory,Chọn hạng mục
label.selected,Đã chọn
label.seniorhours,Giờ cho người cao tuổi
label.seniors,Cho người cao tuổi
label.snap,Địa điểm chấp nhận CalFresh
label.special_hours,Giờ mua hàng cho người cao tuổi
label.website,Trang web
label.wic,Địa điểm chấp nhận WIC
languages.ar,Tiếng Ả Rập
languages.en,Tiếng Anh
languages.es,Tiếng Tây Ban Nha
languages.fr,Tiếng Pháp
languages.ja,Tiếng Nhật
languages.ko,Tiếng Hàn
languages.ms,Tiếng Mã Lai
languages.zh,Tiếng Trung (giản thể)
languages.vi,Tiếng Việt
languages.tl,Tiếng Philippines
sidebar.home,Trang chủ
sidebar.close-panel,Đóng khung tìm kiếm
sidebar.info-about-us,"Trang web này hiện hỗ trợ khu vực Bay Area, CA"
sidebar.info-end-text,", chúng tôi có thể mở rộng phạm vi"
sidebar.info-link-text,sự giúp đỡ của bạn
sidebar.open-panel,Mở khung tìm kiếm
sidebar.shopsafe,Hãy mua sắm an toàn!
sidebar.sixfeet,Giữ khoảng cách 6ft. (1.8m) khi mua hàng
sidebar.stayhome,"Nếu bạn ốm, hãy ở nhà."
sidebar.washhands,Hãy rửa tay thường xuyên
sidebar.what-do-you-need,Bạn cần gì?
sidebar.when-do-you-need-it,Khi nào bạn cần?
title,{0} Hỗ trợ COVID
label.ebt_pay_phone,Thanh toán bằng EBT qua điện thoại
label.ebt_pay_online,Thanh toán bằng EBT trực tuyến
category.food_resources,Hỗ trợ thực phẩm
