translation_id,zh
about.close,关
about.contact,联系我们
about.contactus.email,电子邮件
about.contactus.info,该页面由 {1}的 {0} 驱动。如有疑问，请通过 {2}的电子邮件与我们联系。
about.devhelp.addbusiness,添加业务
about.devhelp.addinfo,使用我们的在线表格填写 {0} 或 {1}。
about.devhelp.ambassadorinfo,帮助我们扩大湾区覆盖范围。大使将会与当地政府部门和企业合作把我们的湾区社区资源地图带到他们的社区里。发邮件{0}来获取工具及资源。
about.devhelp.becomeambassador,成为社区大使
about.devhelp.conduct,行为守则
about.devhelp.devnote,开发人员-在GitHub上找到我们的 {0} 和 {1} 。
about.devhelp.dupsite,或者，您可以为您的州复制一个站点。
about.devhelp.info,这是一个开源项目，旨在与其他社区共享和扩展。
about.devhelp.source,源代码
about.devhelp.support,支持您的邻居和当地企业-帮助我们发展！
about.devhelp.updatebusiness,更新现有条目
about.getinvolved,参与其中
about.info,我们的资源数据库受益于这些组织收集的信息：
about.linktext,关于我们
about.orgs.bureau,教堂山/橙县游客管理局
about.orgs.cfa,美国法典
about.orgs.chb,教堂山大队
about.orgs.farmstewards,卡罗来纳州农场管理协会
about.orgs.localistnc,#LocalListNC
about.orgs.partnership,教堂山市中心合作伙伴
about.orgs.dcl,数据挑战实验室
about.orgs.bln,重大当地新闻
about.partners,信息来源
about.title,关于本网站
category.childcare,育儿
category.family,家庭准备饭|家庭准备饭
category.farm,农场或农贸市场|农场与农贸市场
category.food_bev,特殊食物及饮品
category.free_grocery,免费超市
category.free_food,公众免费食物
category.grocery,杂货|杂货
category.meal,免费餐|免费餐
category.ballot_drop,選票投放箱
category.petsupplies,宠物用品
category.pharmacy,药房|药房
category.restaurant,餐厅|餐厅
category.school,学校餐|学校餐
category.snap_wic_retailer,营养/妇幼保健商店
dayofweek.any,任何
dayofweek.friday,星期️五
dayofweek.monday,星期一
dayofweek.saturday,星期️六
dayofweek.sunday,星期️日
dayofweek.thursday,星期️四
dayofweek.tuesday,星期二
dayofweek.wednesday,星期三
label.address,地址
label.allweek,整个星期
label.backtolist,返回目录
label.call_in_advance,必须提前电话咨询
label.children,给孩子
label.close,关
label.closed,关闭
label.closed-on,封闭于
label.closed-today,今天休息
label.closedonday,休馆（当前选定日期）
label.curbside_pickup,路边捡拾
label.curbside_or_delivery,送餐或者路边提餐
label.delivery,交货
label.discount_medical,医务人员折扣|医务人员折扣
label.discounts,折扣
label.drive_thru,得来速
label.email,电子邮件
label.email_lowercase,电子邮件
label.farmers_market,农贸市场|农贸市场
label.farm_pick_up,农场接送
label.free,免费资源
label.free_groceries,免费杂货店|免费杂货店
label.freemeals,免费用餐地点|免费用餐地点
label.free_produce,免费产品位置|免费产品位置
label.require_child,儿童需要在场
label.must_show_id,必须显示ID
label.all_children,为所有儿童服务
label.enrolled_children,只有在学区就读的学生
label.ballot_outdoor,户外選票投放箱
label.ballot_indoor,室内選票投放箱
label.twentyfourhrs,24小时营业
health.med_testing,COVID测试
health.med_primary_care,初级卫生保健
health.med_pediatrics,儿科
health.med_senior,老年护理
health.med_women,妇女保健
health.med_urgent_care,紧急护理
health.med_dental,牙齿保健
health.med_vision,视力保健
health.med_pharmacy,药店
health.med_mental_health,心理健康
health.med_hotline,热线
health.med_addiction,成瘾和恢复支持
health.med_domestic_violence,家庭暴力受害者的支持
category.cash_assistance,现金援助
label.fin_grocery,杂货现金
label.fin_housing,租金协助
label.fin_legal,律师费现金
label.fin_medical,现金医疗费
label.fin_utilities,公用事业现金
label.freefood,免费食品场所|免费食品场所
label.instructions,说明
label.mapkey,地图键
label.meal_public,餐点向公众开放
label.meal_student,给学生的饭菜
label.must_preorder,必须预订
label.normalhours,正常营业时间
label.notes,笔记
label.offers,优惠
label.open,打开
label.openinghours,营业时间
label.order_online,在线订购和付款
label.phone,电话
label.public,面向大众
label.selectacategory,选择一个类别...
label.selected,选
label.seniorhours,高级时间
label.seniors,给老人
label.snap,营养供给接受地区
label.special_hours,高级购物时间
label.website,网站
label.wic,妇幼保健接受地区
languages.ar,阿拉伯
languages.en,英语
languages.es,西班牙语
languages.fr,法国
languages.ja,日本
languages.ko,朝鲜的
languages.ms,马来语
languages.zh,简体中文
languages.vi,越南的
languages.tl,他加禄的
sidebar.home,主页
sidebar.close-panel,关闭搜索面板
sidebar.info-about-us,目前，这项服务支持湾区。
sidebar.info-end-text,，我们可以扩大覆盖范围。
sidebar.info-link-text,你的帮助
sidebar.open-panel,打开搜索面板
sidebar.shopsafe,请安全！
sidebar.sixfeet,购物时，相隔6英尺。
sidebar.stayhome,如果您生病了，请待在家里。
sidebar.washhands,经常洗手。
sidebar.what-do-you-need,你需要什么？
sidebar.when-do-you-need-it,您什么时候需要它？
title,{0} COVID支持
label.ebt_pay_phone,通过电话用EBT支付
label.ebt_pay_online,线上EBT支付
category.food_resources,食物资源
category.legal_resources,法律资源
category.medical_resources,医疗资源
category.mental_health_resources,心理健康资源
county.alameda,阿拉米达县
county.anywhere,任何地方
county.contra-costa,康特拉克斯塔县
county.marin,马林县
county.napa,纳帕县
county.san-francisco,旧金山县
county.san-mateo,圣马刁县
county.santa-clara,圣克拉拉县
county.solano,索拉诺县
county.sonoma,索诺玛县
county.monterey,蒙特雷县
label.open_today,今日开放
label.pay_phone,通过电话用EBT支付
label.safe_pick_up,安全取物选择
label.zoom_out_for_more_results,缩小以获取更多结果
legal.general_info,综合信息
legal.legal_assistance,法律帮助
label.in_person,当面诊所
medical.telehealth,线上诊所
mental.in_person,当面帮助
label.telehealth,线上帮助
message.no_location_in_this_area,这个区域没有结果
sidebar.current_location,当前位置
sidebar.what,资源。。。
sidebar.what-are-you-looking-for,你在找什么？
sidebar.where,附近。。。
legal.legal_criminal,刑事司法协助
legal.legal_domviolence,家庭暴力协助
legal.legal_worker_protection,工人权益
legal.legal_healthcare,医疗保险申请帮助
