Name,Organization,id,Alternate Name,Description,locations,address,url,email,status,active,interpretation_services,application_process,service_options,payment_options,taxonomy,phones,schedule,med_area,legal_area,cash_area,dv_area,foodstamp_area,details,service_area,metadata
Junction Avenue K-8,Livermore Valley Joint Unified,4533,,The LVJSUD Child Nutrition Services Department is serving FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. SUPPER will also be provided through June 30 at both Junction and Marylin.,298 Junction Ave,298 Junction Ave,,,,Closed,,,,Free,Prepared Meals,,4533,,,,,,,,
Marylin Avenue Elementary,Livermore Valley Joint Unified,4534,,The LVJSUD Child Nutrition Services Department is serving FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. SUPPER will also be provided through June 30 at both Junction and Marylin.,800 Marylin Ave,800 Marylin Ave,,,,,,,,Free,Prepared Meals,,4534,,,,,,,,
Alameda Point Collaborative,Alameda Unified,4535,,These meals are for all youth up to the age of 18. No ID needed.,677 W. Ranger Ave,677 W. Ranger Ave,,,,,,,,Free,Prepared Meals,,4535,,,,,,,,
Earheart Elementary School,Alameda Unified,4536,,These meals are for all youth up to the age of 18. No ID needed.,400 Packet Landing Road,400 Packet Landing Road,,,,,,,,Free,Prepared Meals,,4536,,,,,,,,
Wood Middle School,Alameda Unified,4537,,These meals are for all youth up to the age of 18. No ID needed.,420 Grand Street,420 Grand Street,,,,,,,,Free,Prepared Meals,,4537,,,,,,,,
College of Alameda,Alameda Unified,4538,,These meals are for all youth up to the age of 18. No ID needed.,555 Ralph Appezzato Memorial Parkway,555 Ralph Appezzato Memorial Parkway,,,,,,,,Free,Prepared Meals,,4538,,,,,,,,
Albany High School Cafeteria,Albany City Unified,4539,,We will continue to provide the breakfast and lunch services as planned,603 Key Route Blvd.,603 Key Route Blvd.,,,,,,,,Free,Prepared Meals,,4539,,,,,,,,
Berkeley Arts Magnet Elementary,Berkeley Unified,4540,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",2015 Virginia Street,2015 Virginia Street,,,,,,,,Free,Prepared Meals,,4540,,,,,,,,
Washington Elementary,Berkeley Unified,4541,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",2300 M L King Jr. Way,2300 M L King Jr. Way,,,,,,,,Free,Prepared Meals,,"4,541,491,549,895,190",,,,,,,,
Rosa Parks Elementary,Berkeley Unified,4542,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",920 Allston Way,920 Allston Way,,,,,,,,Free,Prepared Meals,,4542,,,,,,,,
Longfellow Middle School,Berkeley Unified,4543,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",1522 Ward Street,1522 Ward Street,,,,,,,,Free,Prepared Meals,,4543,,,,,,,,
Berkeley High School,Berkeley Unified,4544,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",1980 Allston Way,1980 Allston Way,,,,,,,,Free,Prepared Meals,,4544,,,,,,,,
Willard Middle School,Berkeley Unified,4545,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",2425 Stuart Street,2425 Stuart Street,,,,,,,,Free,Prepared Meals,,4545,,,,,,,,
Martin Luther King Jr. Middle School,Berkeley Unified,4546,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",1781 Rose Street,1781 Rose Street,,,,,,,,Free,Prepared Meals,,4546,,,,,,,,
Castro Valley Elementary School,Castro Valley Unified,4547,,2 lunches and 2 breakfasts,20185 San Miguel Ave,20185 San Miguel Ave,,,,,,,,Free,Prepared Meals,,4547,,,,,,,,
Creekside Middle School,Castro Valley Unified,4548,,2 lunches and 2 breakfasts,19722 Center St,19722 Center St,,,,,,,,Free,Prepared Meals,,4548,,,,,,,,
Stanton Elementary School,Castro Valley Unified,4549,,2 lunches and 2 breakfasts,2644 Somerset Ave,2644 Somerset Ave,,,,,,,,Free,Prepared Meals,,4549,,,,,,,,
Dublin High,Dublin Unified,4550,,Preorders no longer required. Child must be present or child's ID# must be provided.,7471 Larkdale Avenue,7471 Larkdale Avenue,,,,,,,,Free,Prepared Meals,,4550,,,,,,,,
Eleanor Murray Fallon Middle School,Dublin Unified,4551,,Preorders no longer required. Child must be present or child's ID# must be provided.,3601 Kohnen Way,3601 Kohnen Way,,,,,,,,Free,Prepared Meals,,4551,,,,,,,,
Emeryville Center of Community Life/High School,Emery Unified,4552,,"Mondays (3 lunch + 3 breakfast), Thursdays (2 lunch + 2 breakfast) BRING A BAG OR COOLER",1100 47th St,1100 47th St,,,,,,,,Free,Prepared Meals,,4552,,,,,,,,
Thornton Junior High School,Fremont Unified,4553,,"A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.",4357 Thornton Ave,4357 Thornton Ave,,,,,,,,Free,Prepared Meals,,4553,,,,,,,,
Cabrillo Elementary School,Fremont Unified,4554,,"A weekly 22 lb. box of fresh fruit and vegetables, as well as shelf-stable grocery bags, will be added for families in addition to the Grab & Go meal.",36700 San Pedro Dr,36700 San Pedro Dr,,,,,,,,Free,Prepared Meals,,4554,,,,,,,,
