Name,Organization,id,Alternate Name,Description,locations,address,url,email,status,active,interpretation_services,application_process,service_options,payment_options,taxonomy,phones,schedule,med_area,legal_area,cash_area,dv_area,foodstamp_area,details,service_area,metadata
Junction Avenue K-8,Livermore Valley Joint Unified,4533,,The LVJSUD Child Nutrition Services Department is serving FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. SUPPER will also be provided through June 30 at both Junction and Marylin.,298 Junction Ave,298 Junction Ave,,,,Closed,,,,Free,Prepared Meals,,4533,,,,,,,,
Marylin Avenue Elementary,Livermore Valley Joint Unified,4534,,The LVJSUD Child Nutrition Services Department is serving FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. SUPPER will also be provided through June 30 at both Junction and Marylin.,800 Marylin Ave,800 Marylin Ave,,,,,,,,Free,Prepared Meals,,4534,,,,,,,,
Alameda Point Collaborative,Alameda Unified,4535,,These meals are for all youth up to the age of 18. No ID needed.,677 W. Ranger Ave,677 W. Ranger Ave,,,,,,,,Free,Prepared Meals,,4535,,,,,,,,
Earheart Elementary School,Alameda Unified,4536,,These meals are for all youth up to the age of 18. No ID needed.,400 Packet Landing Road,400 Packet Landing Road,,,,,,,,Free,Prepared Meals,,4536,,,,,,,,
Ashland Community Clinic,Tiburcio Vasquez Health Center,5478,,"In-person and telehealth services offered: primary care, vision care, dental care, WIC, health education. Offers a sliding scale pricing plan for patients without insurance (how much you pay is based on your income). Languages spoken: English, Spanish. Currently helping patients apply for Emergency COVID-19 Medi-Cal, which covers all medical services related to COVID-19.",16110 E. 14th St San Leandro,16110 E. 14th St San Leandro,https://www.tvhc.org/,,,,,,"In person,Telehealth",Sliding scale,Health,,5478,"Primary care,Dental care,Vision care",,NA,,,,,
Mission Health Center,Tiburcio Vasquez Health Center,5479,,"In-person and telehealth services offered: primary care, dental care, WIC, health education. Offers a sliding scale pricing plan for patients without insurance (how much you pay is based on your income). Languages spoken: English, Spanish. Currently helping patients apply for Emergency COVID-19 Medi-Cal, which covers all medical services related to COVID-19.",22331 Mission Blvd Hayward,22331 Mission Blvd Hayward,https://www.tvhc.org/,,,,,,"In person,Telehealth",Sliding scale,Health,,5479,"Primary care,Dental care",,NA,,,,,
Silva Clinic,Tiburcio Vasquez Health Center,5480,,"In-person and telehealth services offered: primary care, checkups & screening, immunizations, social services, health education, dental care. Offers a sliding scale pricing plan for patients without insurance (how much you pay is based on your income). Languages spoken: English, Spanish. Currently helping patients apply for Emergency COVID-19 Medi-Cal, which covers all medical services related to COVID-19.",680 W Tennyson Rd Hayward,680 W Tennyson Rd Hayward,https://www.tvhc.org/,,,,,,"In person,Telehealth",Sliding scale,Health,,5480,"Primary care,Pediatrics,Dental care",,NA,,,,,
Hayward High School Clinic,Tiburcio Vasquez Health Center,5484,,Temporarily closed due to COVID-19 protocols.,1633 East Ave Hayward,1633 East Ave Hayward,https://www.tvhc.org/programs-services/youth-health-services/,,,,,,,Sliding scale,Health,,5484,NA,,NA,,,,,
Hayward Unified School District,Hayward High School,5871,,Free breakfast and lunch for kids everyday.,1633 East Ave. Hayward,1633 East Ave. Hayward,https://haywardusd-ca.schoolloop.com/summerfeeding,,,,,,,Free,Prepared Meals,,,NA,,NA,,,,,
Hayward Unified School District,The Hayward Public Library,5874,,Free breakfast and lunch for kids everyday.,888 C St. Hayward,888 C St. Hayward,https://haywardusd-ca.schoolloop.com/summerfeeding,,,,,,,Free,Prepared Meals,,,NA,,NA,,,,,
Hayward Unified School District,San Lorenzo Public Library,5875,,Free breakfast and lunch for kids everyday.,395 Paseo Grande San Lorenzo,395 Paseo Grande San Lorenzo,https://haywardusd-ca.schoolloop.com/summerfeeding,,,,,,,Free,Prepared Meals,,,NA,,NA,,,,,
Catholic Charities,Catholic Charities SF,5876,,"Catholic Charities is helping stabilize housing and ease the financial burdens of eligible San Franciscans, regardless of immigration status, through immediate, temporary financial assistance for housing costs such as rent, mortgage payments, security deposits, utilities, and/or HOA and other housing-related fees. Applications may be submitted online at Give2SFhousing.org or by calling Catholic Charities at 415-972-1283 or sending an email to Give2SFCOVID-19@CatholicCharitiesSF.org. The initial application period for these funds will be one-week.",Call Number,Call Number,https://www.catholiccharitiessf.org/covid-19-relief/give2sf.html,,,,,,,Free,Financial Assistance,,"58,765,917",NA,,NA,,,,,
SFMTA,SFMTA,5877,,The ETC will subsidize about two to three round trips by taxi per month for older adults (persons 65 and older) and people with disabilities. An older adult or persons with disabilities may apply for the ETC program by calling 311 and mentioning the program.,68 12th Street San Francisco,68 12th Street San Francisco,https://www.sfmta.com/getting-around/accessibility/paratransit/essential-trip-card,,,,,,,Free,Financial Assistance,,5877,NA,,NA,,,,,
Disaster Relief Assistance for Immigrants (DRAI),California Human Development Corporation,5878,,"Eligibility: undocumented adult, not eligible for federal COVID-19-related assistance, experienced COVID-19-related hardship, and living in California.
One-time state-funded direct relief assistance of $500, with a maximum of $1,000 in assistance per household. The nonprofit organization assigned to each county helps individuals fill out an application and confirm eligibility. Applicants considered on a first come, first served basis until June 30th, 2020.",Call Number,Call Number,https://californiahumandevelopment.org/disaster-relief-assistance-for-immigrants/,,,,,,,Free,Financial Assistance,,"5,878,587,958,805,880",NA,,General cash assistance,,,,,
