,site_name,address,city,long,lat,county,hours
0,Dollar Tree 5522,2222 Business Cir,San Jose,-121.93281,37.323013,Santa Clara,"Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 8:00 AM – 8:00 PM"
1,"Joya Supermarket, Llc.",2512 California St,Mountain View,-122.10678999999999,37.403904,Santa Clara,"Monday: 7:00 AM – 9:30 PM
Tuesday: 7:00 AM – 9:30 PM
Wednesday: 7:00 AM – 9:30 PM
Thursday: 7:00 AM – 9:30 PM
Friday: 7:00 AM – 9:30 PM
Saturday: 7:00 AM – 9:30 PM
Sunday: 7:00 AM – 9:30 PM"
2,Safeway 2887,150 E El Camino Real,Sunnyvale,-122.03108,37.366657000000004,Santa Clara,"Monday: 5:00 AM – 11:00 PM
Tuesday: 5:00 AM – 11:00 PM
Wednesday: 5:00 AM – 11:00 PM
Thursday: 5:00 AM – 11:00 PM
Friday: 5:00 AM – 11:00 PM
Saturday: 5:00 AM – 11:00 PM
Sunday: 5:00 AM – 11:00 PM"
3,Morgans Hill Market,16935 Monterey St,Morgan Hill,-121.64956000000001,37.124382000000004,Santa Clara,No hours listed
4,Bakery/Panaderia La Mejor,1239 E Julian St,San Jose,-121.87021999999999,37.351727000000004,Santa Clara,"Monday: 5:00 AM – 10:00 PM
Tuesday: 5:00 AM – 10:00 PM
Wednesday: 5:00 AM – 10:00 PM
Thursday: 5:00 AM – 10:00 PM
Friday: 5:00 AM – 10:00 PM
Saturday: 5:00 AM – 10:00 PM
Sunday: 5:00 AM – 9:45 PM"
5,6 To Late Food & Liquors,5138 Monterey Hwy,San Jose,-121.81345,37.262405,Santa Clara,"Monday: 7:00 AM – 12:00 AM
Tuesday: 7:00 AM – 12:00 AM
Wednesday: 7:00 AM – 12:00 AM
Thursday: 7:00 AM – 12:00 AM
Friday: 7:00 AM – 12:00 AM
Saturday: 7:00 AM – 12:00 AM
Sunday: 7:00 AM – 12:00 AM"
6,Dollar Tree 5212,2585 Almaden Rd,San Jose,-121.88273999999998,37.283138,Santa Clara,"Monday: 8:00 AM – 8:00 PM
Tuesday: 8:00 AM – 8:00 PM
Wednesday: 8:00 AM – 8:00 PM
Thursday: 8:00 AM – 8:00 PM
Friday: 8:00 AM – 8:00 PM
Saturday: 8:00 AM – 8:00 PM
Sunday: 9:00 AM – 8:00 PM"
7,TAJ MAHAL,3109 El Camino Real,Santa Clara,-121.98295,37.352505,Santa Clara,"Monday: 9:00 AM – 10:00 PM
Tuesday: 9:00 AM – 10:00 PM
Wednesday: 9:00 AM – 10:00 PM
Thursday: 9:00 AM – 10:00 PM
Friday: 9:00 AM – 10:00 PM
Saturday: 9:00 AM – 10:00 PM
Sunday: 9:00 AM – 10:00 PM"
8,Tolentino's Meat Market,17865 Monterey Rd,Morgan Hill,-121.65817,37.134521,Santa Clara,No hours listed
9,Co 6 Trai Cay,992 Story Rd,San Jose,-121.85501000000001,37.330822,Santa Clara,No hours listed
10,GURU'S FOOD & LIQUOR,501 N 17th St,San Jose,-121.88093,37.352528,Santa Clara,"Monday: 7:00 AM – 12:00 AM
Tuesday: 7:00 AM – 12:00 AM
Wednesday: 7:00 AM – 12:00 AM
Thursday: 7:00 AM – 12:00 AM
Friday: 7:00 AM – 12:00 AM
Saturday: 7:00 AM – 12:00 AM
Sunday: 7:00 AM – 12:00 AM"
11,Lucky 222,1641 N Capitol Ave,San Jose,-121.87298,37.397304999999996,Santa Clara,"Monday: 6:00 AM – 10:00 PM
Tuesday: 6:00 AM – 10:00 PM
Wednesday: 6:00 AM – 10:00 PM
Thursday: 6:00 AM – 10:00 PM
Friday: 6:00 AM – 10:00 PM
Saturday: 6:00 AM – 10:00 PM
Sunday: 6:00 AM – 10:00 PM"
12,Etminan Market,1373 Kooser Rd,San Jose,-121.88933999999999,37.246254,Santa Clara,"Monday: 9:00 AM – 8:00 PM
Tuesday: 9:00 AM – 8:00 PM
Wednesday: 9:00 AM – 8:00 PM
Thursday: 9:00 AM – 8:00 PM
Friday: 9:00 AM – 8:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 10:00 AM – 7:00 PM"
13,STORY SUPER MARKET,1200 Story Rd,San Jose,-121.85291000000001,37.333096000000005,Santa Clara,"Monday: 8:30 AM – 8:00 PM
Tuesday: 8:30 AM – 8:00 PM
Wednesday: 8:30 AM – 8:00 PM
Thursday: 8:30 AM – 8:00 PM
Friday: 8:30 AM – 8:00 PM
Saturday: 8:30 AM – 8:00 PM
Sunday: 8:30 AM – 8:00 PM"
14,DELMAS MARKET,101 Delmas Ave,San Jose,-121.89773000000001,37.330172999999995,Santa Clara,"Monday: 7:00 AM – 1:00 AM
Tuesday: 7:00 AM – 1:00 AM
Wednesday: 7:00 AM – 1:00 AM
Thursday: 7:00 AM – 1:00 AM
Friday: 7:00 AM – 1:00 AM
Saturday: 7:00 AM – 1:00 AM
Sunday: 7:00 AM – 1:00 AM"
15,Asian Live Seafood,2559 S King Rd,San Jose,-121.82345,37.319717,Santa Clara,"Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 8:00 PM
Sunday: 9:00 AM – 7:00 PM"
16,7-eleven 14265G,1880 Curtner Ave,San Jose,-121.92284,37.275753,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
17,Country Store,16390 Monterey St,Morgan Hill,-121.64578,37.117954,Santa Clara,"Monday: 7:00 AM – 10:00 PM
Tuesday: 7:00 AM – 10:00 PM
Wednesday: 7:00 AM – 10:00 PM
Thursday: 7:00 AM – 10:00 PM
Friday: 7:00 AM – 10:00 PM
Saturday: 7:00 AM – 10:00 PM
Sunday: 8:00 AM – 10:00 PM"
18,Phnom Penh Market,2365 Mckee Rd,San Jose,-121.84881000000001,37.366325,Santa Clara,"Monday: 9:00 AM – 7:00 PM
Tuesday: 9:00 AM – 7:00 PM
Wednesday: 9:00 AM – 7:00 PM
Thursday: 9:00 AM – 7:00 PM
Friday: 9:00 AM – 7:00 PM
Saturday: 9:00 AM – 7:00 PM
Sunday: 9:00 AM – 7:00 PM"
19,Baby Nutritional Care 106,7500 Arroyo Cir,Gilroy,-121.55774,37.011906,Santa Clara,"Monday: 8:00 AM – 7:30 PM
Tuesday: 8:00 AM – 7:30 PM
Wednesday: 8:00 AM – 7:30 PM
Thursday: 8:00 AM – 7:30 PM
Friday: 8:00 AM – 7:30 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: 10:00 AM – 4:00 PM"
20,Friends Food & Liqour,343 E 10th St,Gilroy,-121.56218,37.001373,Santa Clara,"Monday: 8:30 AM – 10:30 PM
Tuesday: 8:30 AM – 10:30 PM
Wednesday: 8:30 AM – 10:30 PM
Thursday: 8:30 AM – 10:30 PM
Friday: 8:30 AM – 11:00 PM
Saturday: 8:00 AM – 11:00 PM
Sunday: 8:00 AM – 11:00 PM"
21,Walmart Neighborhood Market 2486,4080 Stevens Creek Blvd,San Jose,-121.97323,37.323132,Santa Clara,"Monday: 7:00 AM – 8:30 PM
Tuesday: 7:00 AM – 8:30 PM
Wednesday: 7:00 AM – 8:30 PM
Thursday: 7:00 AM – 8:30 PM
Friday: 7:00 AM – 8:30 PM
Saturday: 7:00 AM – 8:30 PM
Sunday: 7:00 AM – 8:30 PM"
22,One Stop Market,1493 E Bayshore Rd,East Palo Alto,-122.14421999999999,37.462875,Santa Clara,"Monday: 6:00 AM – 11:00 PM
Tuesday: 6:00 AM – 11:00 PM
Wednesday: 6:00 AM – 11:00 PM
Thursday: 6:00 AM – 11:00 PM
Friday: 6:00 AM – 11:00 PM
Saturday: 6:00 AM – 12:00 AM
Sunday: 8:00 AM – 11:00 PM"
23,PANADERIA ORTIZ BAKERY,3826 7 Trees Blvd,San Jose,-121.83521,37.283997,Santa Clara,"Monday: 5:00 AM – 10:00 PM
Tuesday: 5:00 AM – 10:00 PM
Wednesday: 5:00 AM – 10:00 PM
Thursday: 5:00 AM – 10:00 PM
Friday: 5:00 AM – 10:00 PM
Saturday: 5:00 AM – 10:00 PM
Sunday: 5:00 AM – 10:00 PM"
24,7-Eleven 27768B,708 N Fair Oaks Ave,Sunnyvale,-122.01416,37.39151,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
25,Morgan Hill Farmers Market,17300 Depot St,Morgan Hill,-121.65065,37.129078,Santa Clara,"Monday: Closed
Tuesday: Closed
Wednesday: Closed
Thursday: Closed
Friday: Closed
Saturday: 9:00 AM – 1:00 PM
Sunday: Closed"
26,Safeway 2948,645 San Antonio Rd,Mountain View,-122.11295,37.402306,Santa Clara,"Monday: 5:00 AM – 11:00 PM
Tuesday: 5:00 AM – 11:00 PM
Wednesday: 5:00 AM – 11:00 PM
Thursday: 5:00 AM – 11:00 PM
Friday: 5:00 AM – 11:00 PM
Saturday: 5:00 AM – 11:00 PM
Sunday: 5:00 AM – 11:00 PM"
27,SAFEWAY  1574,4950 Almaden Expy,San Jose,-121.87623,37.260216,Santa Clara,"Monday: 5:00 AM – 11:00 PM
Tuesday: 5:00 AM – 11:00 PM
Wednesday: 5:00 AM – 11:00 PM
Thursday: 5:00 AM – 11:00 PM
Friday: 5:00 AM – 11:00 PM
Saturday: 5:00 AM – 11:00 PM
Sunday: 5:00 AM – 11:00 PM"
28,7 Eleven Store 2367 39747A,1031 Leigh Ave,San Jose,-121.92156999999999,37.306129,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
29,Mexico Bakery Inc. 1,2811 Story Rd,San Jose,-121.82406999999999,37.352856,Santa Clara,"Monday: 5:00 AM – 10:00 PM
Tuesday: 5:00 AM – 10:00 PM
Wednesday: 5:00 AM – 10:00 PM
Thursday: 5:00 AM – 10:00 PM
Friday: 5:00 AM – 10:00 PM
Saturday: 5:00 AM – 10:00 PM
Sunday: 5:00 AM – 10:00 PM"
30,7-Eleven 39411A,3145 S Bascom Ave,Campbell,-121.94083,37.266552000000004,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
31,Apna Bazar,1111 W El Camino Real,Sunnyvale,-122.05346999999999,37.373154,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
32,Great America Shell 172,5390 Great America Pkwy,Santa Clara,-121.97781,37.410065,Santa Clara,"Monday: Open 24 hours
Tuesday: Open 24 hours
Wednesday: Open 24 hours
Thursday: Open 24 hours
Friday: Open 24 hours
Saturday: Open 24 hours
Sunday: Open 24 hours"
33,Lion Foods Llc,2217 Quimby Rd,San Jose,-121.81143,37.32325,Santa Clara,"Monday: 8:00 AM – 9:00 PM
Tuesday: 8:00 AM – 9:00 PM
Wednesday: 8:00 AM – 9:00 PM
Thursday: 8:00 AM – 9:00 PM
Friday: 8:00 AM – 9:00 PM
Saturday: 8:00 AM – 9:00 PM
Sunday: 8:00 AM – 9:00 PM"
