# ----------------------------------------
# All Web Site Data
# Browser & OS
# 20200601-20200814
# ----------------------------------------

Operating System,Date,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
iOS,20200608,76,72,83,62.65%,1.59,00:02:06,0.00%,0,$0.00
iOS,20200609,75,64,80,50.00%,1.14,00:01:55,0.00%,0,$0.00
iOS,20200602,39,33,39,58.97%,1.03,00:00:39,0.00%,0,$0.00
iOS,20200601,32,28,32,71.88%,1.00,00:00:07,0.00%,0,$0.00
iOS,20200629,32,26,37,64.86%,1.11,00:00:40,0.00%,0,$0.00
iOS,20200630,31,27,34,67.65%,1.24,00:01:53,0.00%,0,$0.00
Macintosh,20200629,31,16,40,57.50%,1.32,00:02:22,0.00%,0,$0.00
Macintosh,20200602,25,14,40,42.50%,3.05,00:08:46,0.00%,0,$0.00
Macintosh,20200611,25,9,33,24.24%,2.39,00:06:44,0.00%,0,$0.00
Windows,20200609,25,22,27,37.04%,1.07,00:00:56,0.00%,0,$0.00
Windows,20200701,25,22,26,61.54%,1.27,00:01:38,0.00%,0,$0.00
Macintosh,20200601,24,11,31,35.48%,1.19,00:02:32,0.00%,0,$0.00
Macintosh,20200603,24,11,35,34.29%,1.29,00:03:35,0.00%,0,$0.00
Macintosh,20200617,24,14,31,41.94%,1.19,00:05:24,0.00%,0,$0.00
Macintosh,20200605,23,11,34,55.88%,1.09,00:02:06,0.00%,0,$0.00
iOS,20200603,22,17,24,45.83%,1.17,00:01:06,0.00%,0,$0.00
Macintosh,20200609,22,13,40,60.00%,1.18,00:02:45,0.00%,0,$0.00
Macintosh,20200630,22,15,29,55.17%,1.07,00:02:02,0.00%,0,$0.00
Macintosh,20200612,20,5,36,50.00%,3.28,00:07:31,0.00%,0,$0.00
Macintosh,20200608,19,9,26,38.46%,1.38,00:02:44,0.00%,0,$0.00
Macintosh,20200618,19,9,23,56.52%,1.30,00:03:18,0.00%,0,$0.00
Windows,20200603,19,17,20,35.00%,1.05,00:03:04,0.00%,0,$0.00
Android,20200629,18,17,19,73.68%,1.16,00:01:28,0.00%,0,$0.00
Macintosh,20200616,18,7,24,41.67%,1.33,00:02:45,0.00%,0,$0.00
Macintosh,20200623,18,10,22,40.91%,1.18,00:01:58,0.00%,0,$0.00
Windows,20200617,18,13,21,47.62%,1.19,00:03:15,0.00%,0,$0.00
Macintosh,20200610,17,5,35,68.57%,1.17,00:02:37,0.00%,0,$0.00
Macintosh,20200624,17,9,23,43.48%,1.22,00:02:00,0.00%,0,$0.00
Android,20200609,16,15,16,62.50%,1.19,00:00:27,0.00%,0,$0.00
iOS,20200611,16,12,16,37.50%,1.75,00:03:24,0.00%,0,$0.00
Macintosh,20200604,16,7,32,53.12%,1.56,00:05:58,0.00%,0,$0.00
Macintosh,20200722,16,12,18,50.00%,1.11,00:02:14,0.00%,0,$0.00
Windows,20200602,16,12,18,72.22%,1.06,00:00:17,0.00%,0,$0.00
Macintosh,20200615,15,9,17,41.18%,1.59,00:03:39,0.00%,0,$0.00
Macintosh,20200622,15,8,18,33.33%,1.61,00:03:32,0.00%,0,$0.00
Macintosh,20200701,15,9,17,64.71%,1.00,00:00:20,0.00%,0,$0.00
Windows,20200611,15,11,16,50.00%,1.38,00:04:06,0.00%,0,$0.00
Android,20200608,14,14,14,64.29%,1.00,00:00:12,0.00%,0,$0.00
iOS,20200610,14,11,16,68.75%,2.69,00:11:28,0.00%,0,$0.00
iOS,20200701,14,10,17,52.94%,1.06,00:00:24,0.00%,0,$0.00
Macintosh,20200606,14,6,17,47.06%,1.00,00:00:31,0.00%,0,$0.00
Macintosh,20200707,14,9,17,29.41%,1.18,00:03:21,0.00%,0,$0.00
