region,resource,free,provider_name,provider_addloc,address,city,state,zip,lat,lon,contact,call_in_advance,email,cuisine,instructions,offers,notes,web_link,twitter,instagram,facebook,local,status,mon,tues,wed,thr,fri,sat,sun,sp_mon,sp_tues,sp_wed,sp_thr,sp_fri,sp_sat,sp_sun,special_hours,order_online,pay_online,must_preorder,in_store,in_store_pickup,curbside,drive_thru,delivery,farm_pickup,farmers_market,business_closed,discount_medical,meal_student,meal_senior,meal_public,family_meal,free_produce,free_groceries,public,seniors,children,homeless,clients,uninsured,residents,ebt_online,ebt_phone,quality_check_complete,last_update,updated_by,week_1,week_2,week_3,week_4,week_5,SNAP,WIC
alameda_county,meal,1,Alameda Unified,Alameda Point Collaborative,677 W. Ranger Ave,Alameda,CA,94607,37.7846859,-122.2991632,(510) 337-7079,0,pscuderi@alamedaunified.org,,,,These meals are for all youth up to the age of 18. No ID needed.,https://alamedausd-ca.schoolloop.com/pf4/cms2_site/view_deployment?d=x&theme_id=i12a21queqq4&group_id=1500178971500,,,,0,1,0,11:00:00 AM - 1:00:00 PM,0,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Alameda Unified,Earart Elementary School,400 Packet Landing Road,Alameda,CA,94502,37.745864,-122.239719,(510) 337-7079,0,pscuderi@alamedaunified.org,,,,These meals are for all youth up to the age of 18. No ID needed.,https://alamedausd-ca.schoolloop.com/pf4/cms2_site/view_deployment?d=x&theme_id=i12a21queqq4&group_id=1500178971500,,,,0,1,0,11:00:00 AM - 1:00:00 PM,0,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Alameda Unified,Wood Middle School,420 Grand Street,Alameda,CA,94607,37.7997836,-122.2798795,(510) 337-7079,0,pscuderi@alamedaunified.org,,,,These meals are for all youth up to the age of 18. No ID needed.,https://alamedausd-ca.schoolloop.com/pf4/cms2/view_page?d=x&group_id=1514016404897&vdid=i12a1bqxueq1sa,,,,0,1,0,11:00:00 AM - 1:00:00 PM,0,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Albany Unified,Albany High School Cafeteria,603 Key Route Blvd.,Albany,CA,94707,37.8965494,-122.2925633,NA,0,NA,,,,We will continue to provide the breakfast and lunch services as planned,https://www.ausdk12.org/apps/news/article/1188117,,,,0,1,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Berkeley Unified School District,Berkeley Arts Magnet Elementary,2015 Virginia Street,Berkeley,CA,94709,37.8768847,-122.2703627,NA,0,superintendent@berkeley.net,,,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",https://www.berkeleyschools.net/2020/03/revised-breakfast-and-lunch-distribution-schedule-horario-modificado-acerca-de-la-distribucion-de-desayuno-y-almuerzo/,,,,0,1,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Berkeley Unified School District,Rosa Parks Elementary,920 Allston Way,Berkeley,CA,94710,37.8651487,-122.2950161,NA,0,superintendent@berkeley.net,,,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",https://www.berkeleyschools.net/2020/03/revised-breakfast-and-lunch-distribution-schedule-horario-modificado-acerca-de-la-distribucion-de-desayuno-y-almuerzo/,,,,0,1,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Berkeley Unified School District,Longfellow Middle School,1522 Ward Street,Berkeley,CA,95704,37.8578307,-122.2793717,NA,0,superintendent@berkeley.net,,,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",https://www.berkeleyschools.net/2020/03/revised-breakfast-and-lunch-distribution-schedule-horario-modificado-acerca-de-la-distribucion-de-desayuno-y-almuerzo/,,,,0,1,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Berkeley Unified School District,Berkeley High School,1980 Allston Way,Berkeley,CA,94704,37.8682847,-122.270756,NA,0,superintendent@berkeley.net,,,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",https://www.berkeleyschools.net/2020/03/revised-breakfast-and-lunch-distribution-schedule-horario-modificado-acerca-de-la-distribucion-de-desayuno-y-almuerzo/,,,,0,1,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Berkeley Unified School District,Willard Middle School,2425 Stuart Street,Berkeley,CA,94705,37.8597077,-122.2585901,NA,0,superintendent@berkeley.net,,,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",https://www.berkeleyschools.net/2020/03/revised-breakfast-and-lunch-distribution-schedule-horario-modificado-acerca-de-la-distribucion-de-desayuno-y-almuerzo/,,,,0,1,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Berkeley Unified School District,Martin Luther King Jr. Middle School,1781 Rose Street,Berkeley,CA,94703,37.8824167,-122.277707,NA,0,superintendent@berkeley.net,,,,"FREE BREAKFAST AND LUNCH as take-away meals for school-age children 18 and younger. As of April 22, everyone age 13 and over who comes to Meal Pickup must wear a Face Covering.",https://www.berkeleyschools.net/2020/03/revised-breakfast-and-lunch-distribution-schedule-horario-modificado-acerca-de-la-distribucion-de-desayuno-y-almuerzo/,,,,0,1,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,11:00:00 AM - 1:00:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Castro Valley Unified School District,Castro Valley Elementary School,20185 San Miguel Ave,Castro Valley,CA,94546,37.697829,-122.081038,(510) 537-3000,0,superintendant: superintendent@cv.k12.ca.us,,,,2 lunches and 2 breakfasts,https://www.cv.k12.ca.us/apps/pages/coronavirus,,,,0,1,11:30:00 AM - 12:30:00 PM,0,11:30:00 AM - 12:30:00 PM,0,11:30:00 AM - 12:30:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
alameda_county,meal,1,Castro Valley Unified School District,Creekside Middle School,19722 Center St,Castro Valley,CA,94546,37.6990624,-122.0589462,(510) 537-3000,0,superintendant: superintendent@cv.k12.ca.us,,,,2 lunches and 2 breakfasts,https://www.cv.k12.ca.us/,,,,0,1,11:00:00 AM - 12:30:00 PM,0,11:00:00 AM - 12:30:00 PM,0,11:00:00 AM - 12:30:00 PM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-04-26,,,,,,,0,0
