region	resource	free	provider_name	provider_addloc	address	city	state	zip	lat	lon	contact	call_in_advance	email	instructions	web_link	status	mon	tues	wed	thr	fri	sat	sun	public	seniors	children	homeless	clients	uninsured	residents	quality_check_complete	last_update	updated_by	week_1	week_2	week_3	week_4	week_5
alameda,_contra_costa_county	Core Service Agency	1	Catholic Charities East Bay				CA	0			(510) 768-3100		""	""	https://www.cceb.org/		Monday - Friday, 9:00am - 5:00pm	Monday - Friday, 9:00am - 5:00pm	Monday - Friday, 9:00am - 5:00pm	Monday - Friday, 9:00am - 5:00pm	Monday - Friday, 9:00am - 5:00pm	Monday - Friday, 9:00am - 5:00pm	Monday - Friday, 9:00am - 5:00pm	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z		""	""	""	""	""
alameda_county	Core Service Agency	1	Fremont Family Resource Center				CA	0			(510) 574-2000		""	""	https://www.fremont.gov/228/Family-Resource-Center		Monday - Friday, 8:00am - 5:00pm	Monday - Friday, 8:00am - 5:00pm	Monday - Friday, 8:00am - 5:00pm	Monday - Friday, 8:00am - 5:00pm	Monday - Friday, 8:00am - 5:00pm	Monday - Friday, 8:00am - 5:00pm	Monday - Friday, 8:00am - 5:00pm	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z		""	""	""	""	""
bay_area	Core Service Agency	1	East Oakland DREAMer				CA	0			(661) 304-9243		""	""	https://docs.google.com/document/d/1Qg4IQzgW_1UQu6XUi4m1t2j5isJOQB6yrNtMS1TyaRU/edit		Call Number	Call Number	Call Number	Call Number	Call Number	Call Number	Call Number	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z		""	""	""	""	""
contra_costa_county	Core Service Agency	1	Boys & Girls Club of Contra Costa		4674 Appian Way, El Sobrante, CA 94803	El Sobrante	CA	0			(510) 223-5253		""	""			Online Only	Online Only	Online Only	Online Only	Online Only	Online Only	Online Only	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z	gh	""	""	""	""	""
san_mateo_county	Core Service Agency	1	Samaritan House				CA	0			(650) 347-3648		""	""	https://samaritanhousesanmateo.org/samaritan-house-service-update/		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z	gh	""	""	""	""	""
san_mateo_county	Core Service Agency	1	Samaritan House - South				CA	0			(650) 347-3648		""	""	https://samaritanhousesanmateo.org/samaritan-house-service-update/		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z	gh	""	""	""	""	""
san_francisco_county	Core Service Agency	1	Glide Memorial United Methodist Church		330 Ellis Street, San Francisco, CA	San Francisco	CA	0			(415) 674-6000		""	""	https://www.glide.org/covid19/		"Monday - Sunday, 
7:30 am (senior breakfast) and 8:00 am (general public breakfast), 12pm (lunch)
Monday - Friday, 4:00 pm (dinner)
Saturday, Sunday (baged dinner distributed at lunch)"	"Monday - Sunday, 
7:30 am (senior breakfast) and 8:00 am (general public breakfast), 12pm (lunch)
Monday - Friday, 4:00 pm (dinner)
Saturday, Sunday (baged dinner distributed at lunch)"	"Monday - Sunday, 
7:30 am (senior breakfast) and 8:00 am (general public breakfast), 12pm (lunch)
Monday - Friday, 4:00 pm (dinner)
Saturday, Sunday (baged dinner distributed at lunch)"	"Monday - Sunday, 
7:30 am (senior breakfast) and 8:00 am (general public breakfast), 12pm (lunch)
Monday - Friday, 4:00 pm (dinner)
Saturday, Sunday (baged dinner distributed at lunch)"	"Monday - Sunday, 
7:30 am (senior breakfast) and 8:00 am (general public breakfast), 12pm (lunch)
Monday - Friday, 4:00 pm (dinner)
Saturday, Sunday (baged dinner distributed at lunch)"	"Monday - Sunday, 
7:30 am (senior breakfast) and 8:00 am (general public breakfast), 12pm (lunch)
Monday - Friday, 4:00 pm (dinner)
Saturday, Sunday (baged dinner distributed at lunch)"	"Monday - Sunday, 
7:30 am (senior breakfast) and 8:00 am (general public breakfast), 12pm (lunch)
Monday - Friday, 4:00 pm (dinner)
Saturday, Sunday (baged dinner distributed at lunch)"	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z	gh	""	""	""	""	""
santa_clara_county	Core Service Agency	1	West Valley Community Services		10104 Vista Dr Cupertino, CA 95014		CA	0			4083666092(408) 255-8033		""	""	https://www.wvcommunityservices.org/covid19help		"Monday - Friday,
9:00 am - 5:00 pm (emergency funds),
10:00 am-12:00 pm and 2:00 - 4:00 pm (food pack pick-up)"	"Monday - Friday,
9:00 am - 5:00 pm (emergency funds),
10:00 am-12:00 pm and 2:00 - 4:00 pm (food pack pick-up)"	"Monday - Friday,
9:00 am - 5:00 pm (emergency funds),
10:00 am-12:00 pm and 2:00 - 4:00 pm (food pack pick-up)"	"Monday - Friday,
9:00 am - 5:00 pm (emergency funds),
10:00 am-12:00 pm and 2:00 - 4:00 pm (food pack pick-up)"	"Monday - Friday,
9:00 am - 5:00 pm (emergency funds),
10:00 am-12:00 pm and 2:00 - 4:00 pm (food pack pick-up)"	"Monday - Friday,
9:00 am - 5:00 pm (emergency funds),
10:00 am-12:00 pm and 2:00 - 4:00 pm (food pack pick-up)"	"Monday - Friday,
9:00 am - 5:00 pm (emergency funds),
10:00 am-12:00 pm and 2:00 - 4:00 pm (food pack pick-up)"	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z	gh	""	""	""	""	""
santa_clara_county	Core Service Agency	1	Community Services Agency of Mountain View, Los Altos, and Los Altos Hills		204 Stierlin Rd. Mountain View, CA 94043		CA	0			6509680836(650) 968-0936		""	""	https://www.csacares.org/services/food-nutrition-center/		"Tuesday, 2:00 pm - 4:00 pm, Thursday, 11:30 am  - 1:30 pm,
Friday, 1:30 pm - 3:30 pm (food), Monday - Friday, 9:00 am -12:00 pm and 1:30 pm - 4 pm (emergency relief)"	"Tuesday, 2:00 pm - 4:00 pm, Thursday, 11:30 am  - 1:30 pm,
Friday, 1:30 pm - 3:30 pm (food), Monday - Friday, 9:00 am -12:00 pm and 1:30 pm - 4 pm (emergency relief)"	"Tuesday, 2:00 pm - 4:00 pm, Thursday, 11:30 am  - 1:30 pm,
Friday, 1:30 pm - 3:30 pm (food), Monday - Friday, 9:00 am -12:00 pm and 1:30 pm - 4 pm (emergency relief)"	"Tuesday, 2:00 pm - 4:00 pm, Thursday, 11:30 am  - 1:30 pm,
Friday, 1:30 pm - 3:30 pm (food), Monday - Friday, 9:00 am -12:00 pm and 1:30 pm - 4 pm (emergency relief)"	"Tuesday, 2:00 pm - 4:00 pm, Thursday, 11:30 am  - 1:30 pm,
Friday, 1:30 pm - 3:30 pm (food), Monday - Friday, 9:00 am -12:00 pm and 1:30 pm - 4 pm (emergency relief)"	"Tuesday, 2:00 pm - 4:00 pm, Thursday, 11:30 am  - 1:30 pm,
Friday, 1:30 pm - 3:30 pm (food), Monday - Friday, 9:00 am -12:00 pm and 1:30 pm - 4 pm (emergency relief)"	"Tuesday, 2:00 pm - 4:00 pm, Thursday, 11:30 am  - 1:30 pm,
Friday, 1:30 pm - 3:30 pm (food), Monday - Friday, 9:00 am -12:00 pm and 1:30 pm - 4 pm (emergency relief)"	0	0	0	0	0	0	0	0	2020-04-25T00:00:00Z	gh	""	""	""	""	""
santa_clara_county	Core Service Agency	1	Sacred Heart Community Services		"1381 South First St.
San José, CA 95110"		CA	0			40827821604082782166(408) 278-2172		""	""	https://sacredheartcs.org/programs/		Monday - Thursday, 9:00 am - 4:00 pm	Monday - Thursday, 9:00 am - 4:00 pm	Monday - Thursday, 9:00 am - 4:00 pm	Monday - Thursday, 9:00 am - 4:00 pm	Monday - Thursday, 9:00 am - 4:00 pm	Monday - Thursday, 9:00 am - 4:00 pm	Monday - Thursday, 9:00 am - 4:00 pm	0	0	0	0	0	0	0	0			""	""	""	""	""
