region,alameda,santa_clara,san_mateo,contra_costa,marin,monterey,sonoma,solano,napa,san_francisco,resource,free,provider_name,provider_addloc,address,city,state,zip,lat,lon,contact,call_in_advance,email,cuisine,instructions,offers,notes,notes_es,web_link,web_link_es,twitter,instagram,facebook,local,status,temp_closed,mon,tues,wed,thr,fri,sat,sun,sp_mon,sp_tues,sp_wed,sp_thr,sp_fri,sp_sat,sp_sun,special_hours,must_preorder,pay_at_pickup,in_store_pickup,catering,curbside_pickup,drive_thru,delivery,farm_pickup,farmers_market,business_closed,discount_medical,meal_student,meal_senior,meal_public,family_meal,free_produce,free_groceries,public,seniors,children,homeless,clients,uninsured,residents,immigrants,low income,women,disabled,health_provider,native_american,ebt_online,ebt_phone,legal_housing,legal_worker_protection,legal_healthcare,legal_immigration,legal_criminal,legal_domviolence,legal_contracts,legal_protester_defense,evict_end_date,week_1,week_2,week_3,week_4,week_5,SNAP,WIC,WIC_only_store,quality_check_complete,updated_by,in_person,telehealth,telelegal,sliding_scale,financial_assistance,accepts_medical,med_testing,med_primary_care,med_pediatrics,med_senior,med_women,med_urgent_care,med_dental,med_vision,med_pharmacy,med_benefit,med_mental_health,med_hotline,med_domestic violence,med_addiction,must_show_id,benefits_enrollment,bob,apply_online,apply_phone,cash_type_grant,cash_type_loan,fast_disbursement,fin_general,fin_grocery,fin_housing,fin_legal,fin_medical,fin_utilities,hotline,eviction,dv_medical,dv_mental_health,dv_housing,dv_legal,dv_crisis,dv_referrals
san_francisco,0,0,0,0,0,0,0,0,0,1,grocery,0,Center for Urban Education About Sustainable Agriculture,Ferry Plaza Farmers Market - Tuesday,The Embarcadero & Market St,San Francisco,CA,94111,37.795341,-122.39386,,0,,,,,"Located at: One Ferry Building, Suite 50. Offers market match ($1 for $1) with maximum: $10",,http://www.cuesa.org/markets/,,,,,0,1,0,0,10:00 - 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_francisco,0,0,0,0,0,0,0,0,0,1,grocery,0,Center for Urban Education About Sustainable Agriculture,Ferry Plaza Farmers Market - Thursday,The Embarcadero & Market St,San Francisco,CA,94111,37.795345,-122.39387,,0,,,,,"Located at: One Ferry Building, Suite 50. Offers market match ($1 for $1) with maximum: $10",,http://www.cuesa.org/markets/,,,,,0,1,0,0,0,0,10:00 - 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_francisco,0,0,0,0,0,0,0,0,0,1,grocery,0,Center for Urban Education About Sustainable Agriculture,Ferry Plaza Farmers Market - Saturday,The Embarcadero & Market St,San Francisco,CA,94111,37.795895,-122.39366,,0,,,,,"Located at: One Ferry Building, Suite 50. Offers market match ($1 for $1) with maximum: $10",,http://www.cuesa.org/markets/,,,,,0,1,0,0,0,0,0,0,8:00 - 14:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,1,0,0,0,0,0,0,0,0,0,grocery,0,Ecology Center,South Berkeley,Adeline & 63rd St,Berkeley,CA,94703,37.847761,-122.27192,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,http://www.ecologycenter.org/bfm/,,,,,0,1,0,0,14:00 - 18:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,1,0,0,0,0,0,0,0,0,0,grocery,0,Ecology Center,North Berkeley,Shattuck Ave & Rose St,Berkeley,CA,94709,37.882037,-122.26945,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,http://www.ecologycenter.org/bfm/,,,,,0,1,0,0,0,0,15:00 - 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,1,0,0,0,0,0,0,0,0,0,grocery,0,Ecology Center,Downtown Berkeley,Center St & Martin Luther King Jr. Way,Berkeley,CA,94704,37.869692,-122.27279,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,http://www.ecologycenter.org/bfm/,,,,,0,1,0,0,0,0,0,0,10:00 - 15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marin,0,0,0,0,1,0,0,0,0,0,grocery,0,Petaluma Bounty,Fairfax Wednesday Certified Farmers Market,142 Bolinas Rd,Fairfax,CA,94930,37.985229,-122.59027,,0,,,,,Located at: Bolinas Park. Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/FairfaxCommunityFarmersMarket,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marin,0,0,0,0,1,0,0,0,0,0,grocery,0,Petaluma Bounty,Novato Certified Farmers Market,1701 Grant Ave & 7th St,Novato,CA,94945,38.109273,-122.57858,,0,,,,,Located at: Behind CVS on 7th St. Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/DowntownNovatoCommunityFarmersMarket,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_francisco,0,0,0,0,0,0,0,0,0,1,grocery,0,Center for Urban Education About Sustainable Agriculture,Mission Community Market,84 Bartlett St & 22nd St,San Francisco,CA,94110,37.755385,-122.4199,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,http://missioncommunitymarket.org/,,,,,0,1,0,0,0,0,15:00 - 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,1,0,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Alameda Sat CFM,710 Haight Ave & Webster St,Alameda,CA,94501,37.774063,-122.27605,,0,,,,,Located at: Rehoboth Christian Fellowship. Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/AlamedaFarmersMarket/,,,,,0,1,0,0,0,0,0,0,9:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alameda,1,0,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Alameda Tues CFM,710 Haight Ave & Webster St,Alameda,CA,94501,37.774063,-122.27605,,0,,,,,Offers market match ($1 for $1) with maximum: $10,,https://www.facebook.com/AlamedaFarmersMarket/,,,,,0,1,0,0,9:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
santa_clara,0,1,0,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Alum Rock Village CFM,23 N White Rd,San Jose,CA,95127,37.367454,-121.83022,,0,,,,,Located at: James Lick High School. Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,1,0,0,0,0,0,0,0,8:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san_mateo,0,0,1,0,0,0,0,0,0,0,grocery,0,Pacific Coast Farmers' Market Association,Belmont CFM,1201 El Camino Real & O'Neill St,Belmont,CA,94002,37.519226,-122.27437,,0,,,,,Located at: CalTrain Parking Lot. Offers market match ($1 for $1) with maximum: $10,,http://www.pcfma.org/,,,,,0,1,0,0,0,0,0,0,0,9:00 - 13:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,"SS, IS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
