Organization Name,Type (Hotline/ Legal Services/ General Information),Description,Notes,Eligibility,Contact Phone Number,Contact Email,Verification (if relevant),Areas Served (Specific County / Bay Area/ Statewide / Nationwide),County,Address (if relevant),Days  (if relevant),Open Time (if relevant),Close Time (if relevant),Links (English),Links (Spanish),legal_type
,Choose from dropdown menu,Provide a brief description of the organization.,Use this column to add any other information that might be helpful! (e.g. if there are different subcategories),Who can use these services?,"",,"Can the organization can take in more clients at this moment? If so, state how you know.",Choose from dropdown menu,Only fill this out if the organization is constrained to a specific county!,,"E.g., if it's a hotline, what hours?",0,0,,You can also add other links to other languages if available!,Housing & Homelessness
Example Legal Aid Organization,Legal Services,"Provides legal aid for unlawful detainers for low-income, elderly population. Specializes in Ellis Evictions and Section 8 vouchers.",Ellis evictions; Low-income housing; Elderly,"Low-income, elderly",(650) 334-9999,elderly@legalaid.org,"Yes, Trillium confirmed with Director Lee on 4/19/2020",Specific County,"Santa Clara, San Mateo","222 Vista Dr Cupertino, CA 95014",Weekdays,0,0,www.legalelderlyaid.org,,Housing & Homelessness
Alameda County Courts,General Information,Website provides updates on court's status/approach to COVID-19,,,(510) 891-6000,,,Specific County,Alameda,,,0,0,http://www.alameda.courts.ca.gov/Pages.aspx/COVID-19,,"Criminal, Domestic Violence"
Superior Court of Santa Clara,General Information,Website provides updates on court's status/approach to COVID-20,,,(408) 882-2700,,,Specific County,Santa Clara,,,0,0,http://www.scscourt.org/general_info/news_media/covid19.shtml,,"Criminal, Domestic Violence"
Santa Clara Courts Restraining Order Help Center,Legal Services,Specific portion of the Santa Clara courthouse designed to help with victims of violence/stalking acquire restraining orders,,,(408) 534-5600,,,Specific County,Santa Clara,,,0,0,http://www.scscourt.org/self_help/restraining/rohc.shtml#where,,Domestic Violence
Cooperative Restraining Order Clinic,Legal Services,A collaborative city-wide project which helps domestic violence survivors in San Francisco get restraining orders against their abusers.,This may no longer be occuring since it appears to be a clinic,,(415) 255-0165,"Emberly C. Cross
Coordinating Attorney
Phone: 415-864-1790",,Specific County,San Francisco,,,0,0,https://www.probono.net/sf/volunteer/item.Cooperative_Restraining_Order_Clinic_CROC,,Domestic Violence
Bay Area Legal Aid,Legal Services,"Provides low-income clients with free civil legal assistance, including legal advice and counsel, effective referrals, and legal representation.",,Low-income,(800) 551-5554,,,Bay Area,,,,0,0,https://baylegal.org,,"Housing & Homelessness, Employment & Worker Protections, Healthcare, Immigration, Criminal, Domestic Violence"
Legal Aid at Work Project Survive,Hotline,"Protects the rights of survivors of domestic violence, sexual assault, and stalking to keep their jobs, take time off, and obtain accommodations while seeking safety or medical or legal help.",,Low-income,(888) 864-8335,,,Statewide,,,,0,0,https://legalaidatwork.org/our-programs/domestic-violence-survivors/,https://legalaidatwork.org/clinics-and-helplines/?lang=es,"Employment & Worker Protections, Domestic Violence"
San Mateo County Courts,General Information,Website provides updates on court's status/approach to COVID-20,,,(650) 261-5200,,,Specific County,San Mateo,,,0,0,https://www.sanmateocourt.org,,Criminal
San Mateo DV Clinics,Legal Services,Speak to experienced DV attorney,,,(650) 363-4913,sanmateolawlibrary@gmail.com,,Specific County,San Mateo,,"May 12, 2020 at 6:00pm",0,0,https://www.sanmateocourt.org/documents/self_help/dv_covid-19.pdf,,Domestic Violence
