X1,site_name,address,city,long,lat,county,phone,website,status
9,Co 6 Trai Cay,992 Story Rd,San Jose,-121.85501000000001,37.330822,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
55,Carniceria La Sorpresa,311B Moffett Blvd,Mountain View,-122.07618000000001,37.397888,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
158,Patron Liquors & Grocery Store,252 Willow St,San Jose,-121.88338,37.318218,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
210,"NMSO, Inc. 68204",2790 Story Rd,San Jose,-121.82458000000001,37.352385999999996,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
294,Maldonado Produce Lot  218,1590 Berryessa Road,San Jose,-121.87958,37.36916,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
395,Gbja Llc,2561 Newhall St,Santa Clara,-121.95105,37.337505,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
644,"Nmso, Inc. 68117",1370 Camden Ave,Campbell,-121.94438999999998,37.268932,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
659,Anchor Business Ventures Inc 83297,5498 Monterey Hwy,San Jose,-121.80373999999999,37.256599,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
734,As Om Inc.,1718 Ocala Ave,San Jose,-121.83408999999999,37.33139,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
791,A1 Groceries,143 E Virginia St,San Jose,-121.87868999999999,37.325466,Santa Clara,No formatted_phone_number listed,No website listed,No business_status listed
