site_name,address,city,long,lat,county
Dollar Tree 5522,2222 Business Cir,San Jose,-121.93281,37.323013,Santa Clara
"Joya Supermarket, Llc.",2512 California St,Mountain View,-122.10679,37.403904,Santa Clara
Safeway 2887,150 E El Camino Real,Sunnyvale,-122.03108,37.366657,Santa Clara
Morgans Hill Market,16935 Monterey St,Morgan Hill,-121.64956,37.124382,Santa Clara
Bakery/Panaderia La Mejor,1239 E Julian St,San Jose,-121.87022,37.351727,Santa Clara
6 To Late Food & Liquors,5138 Monterey Hwy,San Jose,-121.81345,37.262405,Santa Clara
Dollar Tree 5212,2585 Almaden Rd,San Jose,-121.88274,37.283138,Santa Clara
TAJ MAHAL,3109 El Camino Real,Santa Clara,-121.98295,37.352505,Santa Clara
Tolentino's Meat Market,17865 Monterey Rd,Morgan Hill,-121.65817,37.134521,Santa Clara
Co 6 Trai Cay,992 Story Rd,San Jose,-121.85501,37.330822,Santa Clara
GURU'S FOOD & LIQUOR,501 N 17th St,San Jose,-121.88093,37.352528,Santa Clara
Lucky 222,1641 N Capitol Ave,San Jose,-121.87298,37.397305,Santa Clara
Etminan Market,1373 Kooser Rd,San Jose,-121.88934,37.246254,Santa Clara
STORY SUPER MARKET,1200 Story Rd,San Jose,-121.85291,37.333096,Santa Clara
DELMAS MARKET,101 Delmas Ave,San Jose,-121.89773,37.330173,Santa Clara
Asian Live Seafood,2559 S King Rd,San Jose,-121.82345,37.319717,Santa Clara
7-eleven 14265G,1880 Curtner Ave,San Jose,-121.92284,37.275753,Santa Clara
Country Store,16390 Monterey St,Morgan Hill,-121.64578,37.117954,Santa Clara
Phnom Penh Market,2365 Mckee Rd,San Jose,-121.84881,37.366325,Santa Clara
Baby Nutritional Care 106,7500 Arroyo Cir,Gilroy,-121.55774,37.011906,Santa Clara
Friends Food & Liqour,343 E 10th St,Gilroy,-121.56218,37.001373,Santa Clara
Walmart Neighborhood Market 2486,4080 Stevens Creek Blvd,San Jose,-121.97323,37.323132,Santa Clara
One Stop Market,1493 E Bayshore Rd,East Palo Alto,-122.14422,37.462875,Santa Clara
PANADERIA ORTIZ BAKERY,3826 7 Trees Blvd,San Jose,-121.83521,37.283997,Santa Clara
7-Eleven 27768B,708 N Fair Oaks Ave,Sunnyvale,-122.01416,37.39151,Santa Clara
Morgan Hill Farmers Market,17300 Depot St,Morgan Hill,-121.65065,37.129078,Santa Clara
Safeway 2948,645 San Antonio Rd,Mountain View,-122.11295,37.402306,Santa Clara
SAFEWAY  1574,4950 Almaden Expy,San Jose,-121.87623,37.260216,Santa Clara
7 Eleven Store 2367 39747A,1031 Leigh Ave,San Jose,-121.92157,37.306129,Santa Clara
Mexico Bakery Inc. 1,2811 Story Rd,San Jose,-121.82407,37.352856,Santa Clara
7-Eleven 39411A,3145 S Bascom Ave,Campbell,-121.94083,37.266552,Santa Clara
Apna Bazar,1111 W El Camino Real,Sunnyvale,-122.05347,37.373154,Santa Clara
Great America Shell 172,5390 Great America Pkwy,Santa Clara,-121.97781,37.410065,Santa Clara
Lion Foods Llc,2217 Quimby Rd,San Jose,-121.81143,37.32325,Santa Clara
Quick N Easy,8429 Murray Ave,Gilroy,-121.56959,37.022015,Santa Clara
Mi Ranchito Produce,259 E Maude Ave,Sunnyvale,-122.02386,37.38755,Santa Clara
Nob HIll 636,3555 Monroe St,Santa Clara,-121.99442,37.36692,Santa Clara
Lunardi's Market 10,2666 S Bascom Ave,San Jose,-121.93471,37.273472,Santa Clara
Lundy Liquor Inc,964 Lundy Ave,San Jose,-121.87272,37.373585,Santa Clara
7-Eleven 23866 E,780 N Winchester Blvd,San Jose,-121.9502,37.329781,Santa Clara
Stop-N-Buy 2,175 S Capitol Ave,San Jose,-121.83324,37.359715,Santa Clara
Chevron 1776,1151 Tully Rd,San Jose,-121.83707,37.314934,Santa Clara
First Mart,3730 N 1st St,San Jose,-121.94627,37.410545,Santa Clara
Hyde Park U Save Liquors,1330 N 1st St,San Jose,-121.90861,37.360668,Santa Clara
Familia Foods,3851 7 Trees Blvd,San Jose,-121.83305,37.283607,Santa Clara
Taj Mahal 2,933 E Duane Ave,Sunnyvale,-122.00334,37.388447,Santa Clara
El Charrito Market,7638 Monterey St,Gilroy,-121.57034,37.010567,Santa Clara
MY GOODS MARKET 5442,7022 Santa Teresa Blvd,San Jose,-121.77631,37.226555,Santa Clara
Safeway 3241,950 W Hamilton Ave,Campbell,-121.96652,37.294125,Santa Clara
Silver Creek Shell 178,5801 Silver Creek Valley Rd,San Jose,-121.7795,37.276684,Santa Clara
Indo-pak Halal Market,1729 Berryessa Rd,San Jose,-121.87248,37.374538,Santa Clara
FOOD MAXX  460,1539 Parkmoor Ave,San Jose,-121.91488,37.316708,Santa Clara
Neighborhood Gas Mart,8445 Cabrillo Hwy,Montara,-122.51621,37.541744,Santa Clara
"Lucky 7 King, Inc. 3",398 S King Rd,San Jose,-121.84859,37.345638,Santa Clara
Rose Market,1250 E Santa Clara St,San Jose,-121.86603,37.347824,Santa Clara
Carniceria La Sorpresa,311B Moffett Blvd,Mountain View,-122.07618,37.397888,Santa Clara
Guadalajara Market,829 Borregas Ave,Sunnyvale,-122.02291,37.397022,Santa Clara
Walgreens 689,121 E El Camino Real,Mountain View,-122.07225,37.379921,Santa Clara
Paul's Imperio Liquors  2,134 E San Salvador St,San Jose,-121.88336,37.331238,Santa Clara
Willow Glen Way Market,450 Willow Glen Way,San Jose,-121.88043,37.304005,Santa Clara
El dorado Liquor & Market,449 Keyes St,San Jose,-121.86906,37.324139,Santa Clara
Safeway Community Market 2454,690 Fremont Ave,Los Altos,-122.09676,37.360451,Santa Clara
NEW WING YUAN MARKET,1139 N Lawrence Expy,Sunnyvale,-121.99592,37.397301,Santa Clara
Paps Hecker Pass Liquor 0,221 1st St,Gilroy,-121.57531,37.013828,Santa Clara
Pauls Imperio Liquor & Taqueria,203 S King Rd,San Jose,-121.85249,37.349602,Santa Clara
7-eleven Store 15952,596 N Abel St,Milpitas,-121.91068,37.436249,Santa Clara
Lucky 233,3457 McKee Rd,San Jose,-121.82738,37.380749,Santa Clara
7-eleven 18445e 18445e,315 Saratoga Ave,Santa Clara,-121.96376,37.330402,Santa Clara
Smart & Final 451,1180 S King Rd,San Jose,-121.84148,37.338364,Santa Clara
7 Eleven 2367- 14288B,404 S 6th St,San Jose,-121.88056,37.332417,Santa Clara
Vraich Liquors,901 Vine St,San Jose,-121.88451,37.320061,Santa Clara
South San Jose Grocery Outlet 151,1665 Foxworthy Ave,San Jose,-121.90686,37.270477,Santa Clara
New Seasons Market - Evergreen 1205,5667 Silver Creek Valley Rd,San Jose,-121.78,37.288387,Santa Clara
Westside Market and Liquor,1340G 1st St,Gilroy,-121.59663,37.013428,Santa Clara
SMART & FINAL 432,141 E El Camino Real,Mountain View,-122.07169,37.379692,Santa Clara
Sprouts Farmers Market 287,20558 Stevens Creek Blvd,Cupertino,-122.03322,37.322784,Santa Clara
7 Eleven 14220G,1444 S Winchester Blvd,San Jose,-121.94985,37.297779,Santa Clara
Spartan Market,351 E William St,San Jose,-121.87733,37.332199,Santa Clara
Kaiser Santa Clara,710 Lawrence Expy,Santa Clara,-121.99582,37.335438,Santa Clara
Delizias Bakery Inc.,3975 Senter Rd,San Jose,-121.82426,37.283581,Santa Clara
Olivera Egg Ranch Store,3315 Sierra Rd,San Jose,-121.84564,37.400425,Santa Clara
Bird Avenue Shell 18,395 Bird Ave,San Jose,-121.89967,37.323586,Santa Clara
San Martin Market,13320 Depot St,San Martin,-121.60952,37.085575,Santa Clara
La Plaza Market 3,515 McLaughlin Ave,San Jose,-121.86193,37.341007,Santa Clara
GURU'S MARKET,148 GEORGE ST,SAN JOSE,-121.90136,37.346806,Santa Clara
TAK FOOD & LIQUOR,1091 McCreery Ave,San Jose,-121.84091,37.342327,Santa Clara
Smart & Final 810,1290 W San Carlos St,San Jose,-121.91115,37.323383,Santa Clara
Dollar Tree 4681,2155 Tully Rd,San Jose,-121.81955,37.326813,Santa Clara
